city,state,latitude,longitude,dup
Australian National University, ACT,-35.28, 149.120,FALSE
Barton, ACT,-35.2, 149.100,FALSE
Darwin, NT,-12.8, 130.960,FALSE
Parap, NT,-12.43, 130.840,FALSE
Alawa, NT,-12.38, 130.880,FALSE
Brinkin, NT,-12.38, 130.880,FALSE
Casuarina, NT,-12.38, 130.880,FALSE
Coconut Grove, NT,-12.38, 130.880,FALSE
Jingili, NT,-12.38, 130.880,FALSE
Lee Point, NT,-12.38, 130.880,FALSE
Lyons, NT,-12.38, 130.880,FALSE
Millner, NT,-12.38, 130.880,FALSE
Moil, NT,-12.38, 130.880,FALSE
Muirhead, NT,-12.38, 130.880,FALSE
Nakara, NT,-12.38, 130.880,FALSE
Nightcliff, NT,-12.38, 130.880,FALSE
Rapid Creek, NT,-12.38, 130.880,FALSE
Tiwi, NT,-12.38, 130.880,FALSE
Wagaman, NT,-12.38, 130.880,FALSE
Wanguri, NT,-12.38, 130.880,FALSE
Anula, NT,-12.4, 130.910,FALSE
Buffalo Creek, NT,-12.4, 130.910,FALSE
Holmes, NT,-12.4, 130.910,FALSE
Karama, NT,-12.4, 130.910,FALSE
Leanyer, NT,-12.4, 130.910,FALSE
Malak, NT,-12.4, 130.910,FALSE
Marrara, NT,-12.4, 130.910,FALSE
Northlakes, NT,-12.4, 130.910,FALSE
Sanderson, NT,-12.4, 130.910,FALSE
Woodleigh Gardens, NT,-12.4, 130.910,FALSE
Wulagi, NT,-12.4, 130.910,FALSE
Charles Darwin University, NT,0, 0.000,FALSE
Bagot, NT,-12.41, 130.860,FALSE
Bayview, NT,-12.41, 130.860,FALSE
Charles Darwin, NT,-12.41, 130.860,FALSE
Coonawarra, NT,-12.41, 130.860,FALSE
Cullen Bay, NT,-12.41, 130.860,FALSE
Darwin DC, NT,-12.41, 130.860,FALSE
Darwin International Airport, NT,-12.41, 130.860,FALSE
Darwin MC, NT,-12.41, 130.860,FALSE
East Point, NT,-12.41, 130.860,FALSE
