state,Cluster,country
CT,1,us
NB,1,canada
NM,1,us
NS,1,canada
AL_br,2,brazil
BA_br,2,brazil
CE_br,2,brazil
GO_br,2,brazil
GuaçuSP_br,2,brazil
MT_br,2,brazil
PA_br,2,brazil
PB_br,2,brazil
RN_br,2,brazil
SP_br,2,brazil
AB,3,canada
AL,3,us
AR,3,us
AZ,3,us
BC,3,canada
British Columbia,3,canada
CA,3,us
Canada,3,canada
CO,3,us
DC,3,us
FL,3,us
GA,3,us
IA,3,us
IL,3,us
IN,3,us
KS,3,us
KY,3,us
LA,3,us
LosAngelesCA,3,us
MA,3,us
MB,3,canada
MD,3,us
MI,3,us
MN,3,us
MO,3,us
NC,3,us
ND,3,us
NE,3,us
ni,3,us
NI,3,brazil
NJ,3,us
NL,3,canada
NY,3,us
OH,3,us
OK,3,us
ON,3,canada
OR,3,us
PA,3,us
QC,3,canada
RI,3,us
RJ_br,3,brazil
RS_br,3,brazil
SC,3,us
SC_br,3,brazil
SD,3,us
SE_br,3,brazil
SK,3,canada
TN,3,us
TX,3,us
UT,3,us
VA,3,us
VT,3,us
WA,3,us
WI,3,us
WV,3,us
WY,3,us
AM_br,4,brazil
Benz_br,4,brazil
DF_br,4,brazil
ES_br,4,brazil
GO_br,4,brazil
HospitaldaBaleia_br,4,brazil
Libanês_br,4,brazil
MA_br,4,brazil
MG_br,4,brazil
MS_br,4,brazil
PA_br,4,brazil
PE_br,4,brazil
PR_br,4,brazil
RN_br,4,brazil
