JobClear,companyClear,dateClean,skills,education,language,dateColect,country,cityClear,stateClear,url
Data Scientist,Wish,2018-01-01,algorithm algorithm feature algorithm hadoop spark mapreduce,,,2018-01-17,Canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=136208&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_40c4139e&cb=1516222785973&jobListingId=2363793138
Data Scientist,Splunk,2017-12-28,feature r stata weka matlab java scala data set sql hadoop mapreduce pig hive algorithm value,,,2018-01-17,Canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=4128&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5661e578&cb=1516222785974&jobListingId=2576570396
Data Scientist,TEEMA,2018-01-10,algorithm visualization median unstructured data clustering regression vector value model econometrics mathematica sas python r clustering classification regression correlation model,,,2018-01-17,Canada,Edmonton,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=9619&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4a2d994c&cb=1516222785975&jobListingId=2612244306
Data Scientist,TalentSphere Staffing Solutions,2018-01-01,correlation algorithm model model python r tableau mathematica spark r,master bachelor,,2018-01-17,Canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=58811&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a0936e34&cb=1516222785976&jobListingId=2580046281
Data Scientist,,2018-01-02,median mathematica volume python r correlation algorithm correlation server perl classification,bachelor master phd,english,2018-01-17,Canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=4120&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_89b48672&cb=1516222785978&jobListingId=2580959999
Data Scientist,Scribd,2018-01-01,value model model scripting python r,,,2018-01-17,Canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=8095&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f0a38b1&cb=1516222785979&jobListingId=2604596820
Data Scientist,First Derivatives,2018-01-08,correlation unstructured data database hadoop hana cloud mathematica java,,,2018-01-17,Canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=135979&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d673061d&cb=1516222785980&jobListingId=2610484075
Data Scientist,,2018-01-02,,,,2018-01-17,Canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=4120&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_72b755ab&cb=1516222785982&jobListingId=1128378493
Data Scientist,Decision Resources Group,2017-12-20,algorithm algorithm spark hadoop,,,2018-01-17,Canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=248941&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7a86070c&cb=1516222785984&jobListingId=2448903696
Data Scientist,Sunnybrook Health Sciences Centre,2017-12-29,transactional data correlation aggregation correlation algorithm mathematica correlation algorithm algorithm clustering data set r matlab spss sas python visualization database model storage,bachelor master phd,,2018-01-17,Canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=4120&s=58&guid=0000016105eba7dba1ae514eea82b112&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ab7514ed&cb=1516222785985&jobListingId=2601422439
