id,positJob,company,city_state,date,descrip,dateCollect,country,url
JD_2602162136,Data Scientist, FreshBooks, – Toronto, 3 days ago,"The Opportunity Data Scientist This position requires someone who loves to roll up their sleeves and build the technical bedrock and machine learning models to take advanced analytics at FreshBooks to the next level. Primarily you will be working on designing and building machine learning models to provide the structure for sound data analysis and decisions. The best person for this role will be a naturally inquisitive problem solver with a strong technical foundation with an interest in supporting business outcomes. What youll need:MSc in a quantitative field, or equivalent experienceA deep understanding of the theory underpinning various machine learning modelsExperience with a statistical software and a scripting language (ideally Python or R)Experience in applying statistical analysis techniques to real-world dataA highly collaborative and team oriented mindsetGreat communication skills, with the ability to present complex ideas in simple termsNot required, but great to have:PhD in a quantitative field, or equivalent experienceExperience using SQL (ideally PostgreSQL)Experience with version control tools (GIT or similar)Experience using big data tools (Spark, Hadoop or similar)Experience providing guidance cross functionally with non-technical departmentsPrevious experience at a startup or SaaS companyWhat we offer:Competitive salary, health benefits from day 1 and extra days off (office is closed between Christmas and New Years)RRSP matching program and generous parental leave policyWeekly catered lunches, beer, and snacksTeam and company offsites, hackoffs, and paid community volunteer days and religious observance daysProfessional development opportunities and flexible work schedulesOffice gym with showers and complimentary towel serviceSecure, indoor bike parking with well-stocked repair bayPing Pong, Foosball, Massage Chairs, Nintendo Stations and more.Dog friendly officeTTC Accessible Sure, there are perks, but the real reason people are proud to work at FreshBooks is because each person knows their opinion is respected, and they can see the difference they make in the lives of over 10 million small business owners around the world. If you want to accelerate your career, work on projects you're passionate about and have just as much of a life outside the office as insideyou're exactly what we're looking for. We value our people... We recognize and reward ingenious work. We all have real lives, and respect work lifestyle balance. We all have a voice that is heard throughout the company. We always make time for fun, and have one of the most unique, employee-led cultures out there. Join the FreshBooks choir or a class in the gym, organize a gaming night, teach a dev lunch and learn, or use a paid volunteer day to share your skills with the community. Salaries are competitive and compensation packages include stake in the company. Interested? Lets get started! FreshBooks provides employment accommodation during the recruitment process. Should you require any accommodation, please indicate this on your application and we will work with you to meet your accessibility needs. For any questions, suggestions or required documents regarding accessibility in a different format, please contact us at phone 416-780-2700 and/oraccessibility@freshbooks.com.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=327602&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e3dba646&cb=1524597911364&jobListingId=2602162136
JD_2696666093,Data Scientist, Capital One, – Toronto, 7 days ago," North York (93006), Canada, North York,Toronto, Ontario,  At Capital One, were building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.  Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.  Data Scientist  At Capital One, data is at the center of everything we do. When we launched as a startup we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making.  As a Data Scientist at Capital One, youll be part of a team thats leading the next wave of disruption at a whole new scale, using the latest in distributed computing technologies and operating across billions and billions of customer transactions to unlock the big opportunities that help everyday people save money, time, and agony in their financial lives.  On any given day, youll be: Writing software to clean and investigate large, messy data sets of numerical and textual dataIntegrating with internal and external data sources and APIs to discover interesting trendsBuilding machine learning models (Linear and Logistic regression, Gradient Boosting, Random Forest, etc.) from development, validation, through to deployment in productionDesigning rich data visualizations to communicate complex ideas to customers or company leadersInvestigating the impact of new technologies on the future of digital banking and the financial world of tomorrow The Ideal Candidate will be: Curious: You ask why, you explore, you're not afraid to blurt out your disruptive idea. You probably know Python, Scala, or R and are constantly exploring new open source tools, and hitting up stack overflow on a regular basis.A Wrangler: You know how to programmatically extract data from a database and an API, bring it through a transformation or two, and model it into a human-readable form (Matplotlib, d3 visualization, Tableau, etc.).Creative: Big, undefined problems and petabytes of data don't frighten you. Youre used to working with abstract data, and you love discovering new narratives in unmined territories.Proactive: You will want to share your knowledge with your peers and contribute back to inner/open source projects which you might consume. Benefits Your choice of hardware - latest MacBook Pro or HP EliteBook and all the monitors you want!Travel to a conference of your choice annually (senior+) - PyCon, PyData, AWS re:Invent, KDD, etc.$5000/yr education budgetFlexible work hours, dress code and environment Twenty-five years after Capital One was started its still led by its founder. Be ready to join a community of the smartest people youve ever met, who see the customer first, and want to use their data skills to make a difference.  Basic Qualifications: Bachelors Degree in a quantitative fieldAt least 1 year of experience in open source programming languages for large scale data analysis (Python, R, or Scala)At least 1 year of experience with version control system like Git and GitHub.At least 1 year of experience with machine learning or predictive modeling (scikit-learn, H2O, xgboost, or TensorFlow)At least 1 year of experience with relational databases (Postgres, Redshift, MySQL) and programming in SQL Preferred Qualifications: Masters Degree or PhDExperience working with AWS (EC2, S3, Lambda, RDS, etc.)Experience working with advanced Git Workflows (Pull Requests, Code Reviews, Issues, and Branching)Experience writing unit tests and integrating with CICD tools (Jenkins, CircleCI, etc.)At least 3 years experience in Python or RAt least 3 years experience with machine learning / predictive modeling (scikit-learn, H2O, xgboost, TensorFlow, etc.)At least 3 years experience with SQL Capital One Canada is an equal opportunity employer committed to fostering a diverse and inclusive work environment. We consider all qualified applicants and will meet the needs of those requiring reasonable accommodations.  If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.  For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.  Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=326065&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_536af3ec&cb=1524597911365&jobListingId=2696666093
JD_2735154149,Data Scientist, Sinalite, – Markham, 8 days ago," SinaLite offers flexible marketing solutions for business owners in the advertising and marketing sector within North America. We embrace new developments in e-commerce, manufacturing technology and marketing trends. And everyday, our talented team keeps SinaLite moving towards our company mission which is simple: to help our customers succeed, by offering high quality marketing materials through e-commerce and lean manufacturing.  We are looking for an individual who wants to make a real positive impact on not only SinaLite and its clients, but also their own careers as a Data Scientist!  Here's what you’ll do! You will answer important business questions like which marketing campaign is doing the best and how to improve our existing campaigns.You will empower SinaLite and its team members by providing expert advice and reporting based on your impeccable ability to identify patterns in large amounts of business data.You will proactively and consistently look through data to find trends and opportunities where the company can invest its resources.Conduct daily data collection, preprocessing and expert analysisBuild, combine and test models to address business challengesPresent clean and accurate information using data visualization techniquesWith a keen eye for opportunities, identify valuable data sources and automate collection processesCollaborate with key departments including marketing, engineering, finance, sales and management.You will build strong and trusted relationships with our team and learn the ins and outs of our business.Requirements Who you are: You have a sense of curiosity and ability to ask the right questions and find patterns easily.You have excellent multifaceted communication skills both technical and business.You are a creative and innovative thinker with strong problem solving skills.You are highly analytical with a knack for analysis, math and statistics. What you know: Data miningUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred What we look for: We hire individuals based on culture, passion and skills. Work culture isn't just about a place to work, it's about a community of active individuals who live and breath continuous improvement and growth for not only themselves but their team members. We are looking for individuals who are not satisfied with the status quo but who illustrates their passion to succeed on a daily basis. Finally, while experience is an advantage for our candidates, we favour individuals who are skilled, capable and driven.Benefits What we offer: The opportunity to work with a fun and dynamic teamEmployer paid BenefitsCasual business dress environmentCompany sponsored learningRegular employee appreciation eventsEmployee savings programSina is committed to providing equal employment opportunity for all persons regardless of race, sexual orientation, family status, ethnic origin, colour, sex, age, marital status and/or disability. We are committed to treating all persons with dignity, independence, integration and respect. Alternative formats and accommodation are available upon request.Alternative formats of this position are available upon request.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=273855&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_931631b9&cb=1524597911366&jobListingId=2735154149
JD_2737874996,Data Curation Scientist," Dialpad, Inc.", – Kitchener, 6 days ago," At Dialpad, we're a team of do-ers. A team that thinks outside the box and when that doesn't work, we reinvent it. We don't settle for the status quo and neither do the things we build. Led by the same minds behind Google Voice, we build products that get businesses talkingwhether it's across the hall, street, or country.  With $70 million in funding from Google Ventures, Andreessen Horowitz, and other top VC's along with engineers from companies like Microsoft and Google, every member of our team plays an essential role in creating a voice product that doesn't just combine design and mobility but but works with you wherever productivity may strike. ResponsibilitiesDesign and own strategies and pipelines for acquiring high quality training data. Optimize the quality, latency and cost of data acquired by crowdsourcing data labelling or internal labellers.Manage large quantities of text and audio data. Typical tasks include extracting samples from databases, writing scripts to trim and clean data, and making datasets available on cloud services.Developing standards for text data. Typical tasks include creating processes to infer pronunciations for words, that spellings and capitalizations are consistent across data, and standardizing incoming data from human transcribers.Managing human labellers. Typical tasks include writing instructions for labellers, directing data to the interface that labellers will use, and creating tests to ensure quality.Interact with world-class speech recognition and NLP specialists to help them meet their model's needs for labelled data.RequiredMasters or Ph.D. degree in technical or linguistic field required5+ years' experience in data management5+ years' experience in text processing5+ years using labelled data, in a machine learning context for example3+ years experience with labelling data using crowdsourcingPreferredExcellent attention to detailCreative, resourceful problem solverExcellent data management skills with various platforms and languagesComfortable using Python for data cleaning and managementShell scripting skillsStrong SQLProven ability to handle big dataFluency in English and excellent understanding of the English language from a phonetic, grammatical, and linguistic perspectiveSome experience with machine learningBonus: Multiple spoken languages (particularly Spanish and Japanese)Bonus: Advanced programming skills in other programming languagesBonus: Data presentation and analysis skillsAbout Us Joining our team means collaborating with people that aren't just passionate about their work but about Argentine tango, musicals, sushi burritos, comic books - you name it. Because if you're going to redefine the status quo, you need a group of people hungry to do more, to see more, and be more than where they started.  There is no idea too crazy and no task too small we work together to make things we're proud of. Compensation & Equity Teamwork makes the dream work. We recognize that our dedicated team members are what make our success. That's why we offer competitive salaries in addition to stock options. Healthcare An apple a day keeps the doctor away - and it doesn't hurt that we offer 100% paid Medical, Dental and Vision Plan employee coverage. Reimbursements We offer a monthly stipend to help cover your cell phone, home internet, and even gym membership costs. Location, Location, Location San Francisco Raleigh Vancouver Tokyo San Antonio San Jose. From coast to coast, our offices are nestled in active and growing downtown areas.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=320461&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec31c237&cb=1524597911369&jobListingId=2737874996
JD_2738712740,Data Scientist, Shopify, – Canada, 5 days ago," About the roleAt Shopify, we empower 500,000+ entrepreneurs all over the world. We're looking for hard-working, passionate people to help us make commerce better. For over 10 years we have been incredibly data greedy and are super driven when it comes to using these insights to help drive our product direction and make things better for our merchants.  We are looking for a Data Scientist for the Shopify Plus team. Working closely with the team, you will help us drive optimization in this area through the development of machine learning models that are scaled across our enterprise merchants. You'll need to have:Strong background in machine learning including experience implementing models at scaleExtensive experience using Python (including scikit-learn) or similar languagesExtensive experience analyzing data using SQL It'd be great if you had:Previous experience using SparkExperience with statistical methods like regression, GLMs or experiment design and analysisExposure to Tableau, QlikView, Mode, Matplotlib, or similar data visualization toolsFamiliar with SaaS sales funnel, conversion rates, campaign performance and Google Analytics.If you’re interested in helping us shape the future of commerce, click the “Apply now” button to submit your application. Please address your cover letter to Ella.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=135414&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ca15e697&cb=1524597911371&jobListingId=2738712740
JD_2744971439,Data Scientist, Sickkids, – Toronto, 1 days ago,"About SickKidsDedicated exclusively to children and their families, The Hospital for Sick Children (SickKids) is one of the largest and most respected paediatric healthcare centres in the world. As innovators in child health, we lead and partner to improve the health of children through the integration of healthcare, leading-edge research and education. Our reputation would not have been built – nor could it be maintained – without the skills, knowledge and experience of the extraordinary people who come to work here every day. SickKids is committed to ongoing learning and development, and features a caring and supportive work environment that combines exceptionally high standards of practice.  When you join SickKids, you become part of our community. We share a commitment and determination to fulfill our vision of Healthier Children. A Better World.  Don’t miss out on the opportunity to work alongside the world’s best in paediatric healthcare.Position DescriptionThe Data Science team (DS) at The Hospital for Sick Children is seeking a highly motivated Bioinformatician. The successful candidate will get to apply their knowledge of bioinformatics and machine learning to interesting and challenging studies of inflammatory diseases. The position will report directly to Anna Goldenberg and Rae Yeung, and will interact closely with the DS Manager along with personnel in other computational and analytical roles within the DS and other teams at SickKids and around the world. Here's What You'll Get To Do:Provide highly advanced analytical and informatics expertise, specifically related to analysis of the genetics and genomics of complex disease sets and apply this expertise to specific projects (working with lab staff/collaborators)Contribute to cutting-edge findings in biology and health through grant proposals and publicationsDevelop data processing and reporting pipelines to manage and maintain data quality and provenance.Work in a casual work environment where learning and development are keys to successInteract with multiple teams across the globe to help assess quality and availability of dataWork directly with a data architect to ensure that the data stored is easily accessible by the analytics teamHere's What You'll Need:Bachelor of Science in Bioinformatics, Biostatistics, Computer Science, Statistics, or equivalent.Proficiency in R and pythonExperience with running statistical analyses in real data (ideally genetic or genomic)Knowledge of biology (ideally immunology)Experience in working with genomics data, building processing pipelinesUnderstanding and experience with basic (e.g. random forest, SVMs) and advanced (e.g. deep learning, stochastic processes) machine learning methods particularly in application to omics dataProficiency in Linux/UnixAbility to function independently, yet collaboratively within a multidisciplinary teamAbility to manage competing demands and deadlines from multiple projects and collaborators with minimal supervisionExcellent oral and written communication skills.Employment Type: 1 year contract (full time) with a possibility of extension  A complete application should include a statement of interest, a CV, and the names of 2 references. Please submit applications to Anna Goldenberg (anna.goldenberg@utoronto.ca), with “Data Scientist for the DS team” in the subject line. Once the suitable candidate is identified, the position will commence immediately upon completion of the necessary paperwork. The position will remain open until filled.Our Commitment to DiversitySickKids is strongly committed to diversity within its community and welcomes applications from visible minority group members, women, Aboriginal persons, persons with disabilities, members of sexual minority groups and others who may contribute to diversity within our organization.  SickKids is also committed to providing services in both official languages and our preference is to hire employees who are fluent in both English and French whenever possible.  Thank you for your interest in joining SickKids. Only those applicants selected for an interview will be contacted. In accordance with our Hospital policy, employment at SickKids is conditional upon the Hospital’s receipt of all necessary documentation. How to ApplyTip: Combine your cover letter and resume into ONE document as you cannot upload multiple documents as part of your application.  If you are still experiencing technical difficulties please email ask.hr@sickkids.ca to send us a short description of the issues you are experiencing. Please note that we will not accept resumes sent to this inboxbut we are happy to respond to requests for technical assistance.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d29f5615&cb=1524597911373&jobListingId=2744971439
JD_2721005987,Data Scientist, Kabam, – Vancouver, 21 days ago," Join a team of highly-motivated individuals inquisitive spirits who are always searching for the answers to hard questions. With an inquisitive spirit, you will provide meaningful insights into how Kabam’s games operate and contribute to setting them up for continued success.  Kabam is looking for aData Scientistwith a strong technical and analytical background to join us in delivering titles such asMarvel Contest of Champions and Transformers Forged to Fight with new exciting projects on the way!  We don’t just make games, we play and love them too.  You will contribute by: Developing and tuning statistical models to guide measurement and optimizationIdentifying and reporting actionable insights to internal stakeholders, suggest recommendations and influence the direction of the business by effectively communicating resultsWorking with product teams to develop meaningful datasets for analysisProviding and inform analysis and development of KPIsDefining the data acquisition and analysis for A/B tests in order to estimate impact and provide recommendationsDeveloping models for predicting player behaviorAnswering in-depth analytics questions from the team and create reports of the results At Kabam, we’re constantly raising the bar of excellence in free-to-play mobile gaming. We hire for passion and diversity so that together as a team we can triumph in our collective skill. Our teams are made up of a fusion of personalities and interests bound together by a collaborative nature, fun-loving culture and drive to do what it takes to make great games. And that’s where you come in…  Your background includes: 3+ years of experience translating data to insight to recommendationsM.Sc./Ph.D. in a quantitative discipline (Mathematics, Physics, Statistics, Operations Research, Computer Science, Economics, Electrical Engineering)Expert knowledge of SQLProficient in (statistical) programming languages (Python, R, etc.)Experience in translating results to provide actionable insight into user/product behaviorAble to present findings to non-technical audiencesPassion for games To take things a level up, it would be nice to have: Experience in the video game or entertainment industry, specifically focused on virtual economicsKnowledge of Big Data technologies (AWS EMR, Spark, Hadoop, columnar DBs, NoSQL, etc.)Experience with BigQueryExperience in social or mobile game development Excited by this opportunity? We invite you to apply and start the conversation with us.  Together, we can create some of the best games ever made.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=337541&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_24e3a837&cb=1524597911375&jobListingId=2721005987
JD_2744740576,Senior Data Scientist, Manulife, – Toronto, 1 days ago,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference and a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.General Accountability:This position is accountable for the research, development and implementation of advanced analytic models and algorithms to improve business processes, and generate insight to support the strategy and goals of Group Functions (Compliance, Risk, HR, Branding & Communication, Finance, etc.). In addition, this position will provide analytics thought leadership and will spearhead research and adoption of advanced analytics tools and techniques across Manulife.Responsibilities:Develop and implement models and algorithms to support Group Functions strategy and business pillar initiativesInnovate and find creative ways to source data to support modeling efforts, leveraging structured and unstructured data using Big Data technologiesIdentify and assess bottlenecks in the current Big Data solutions, propose and implement required changesLiaison with Manulife Data team to ensure efficient usage of Manulife Big Data technology stackLead, manage and deliver advanced analytics solutions through consulting type engagements with internal business clientsConduct research to push Manulife abilities in data science and machine learningPeer review other Data Scientists’ workAdvanced degree (MSc or Ph.D.) in Statistics, Math, Comp Sci, Engineering or other related disciplineMinimum of 5 years of experience in either statistical/data analysis, predictive modeling, machine learning, deep learning or optimizationProficient in either Python, RExpert knowledge of Hadoop ecosystem including Spark, Kafka, HBase, Hive, OozieExtensive experience in debugging and solving performance issues when dealing with terabytes of dataExtensive experience in designing data ingestion/manipulation pipelinesExperience with analysis of unstructured data including speech, text or imagesExperience and working knowledge of Unix ecosystemTrack of record of delivering innovative analytical insights to a variety of customersStrong commitment to organizational success and team workAdaptable and open to change with strong collaboration and presentation skillsFamiliarity with Agile methodologiesAbout Manulife Manulife Financial Corporation is a leading international financial services group that helps people achieve their dreams and aspirations by putting customers' needs first and providing the right advice and solutions. We operate primarily as John Hancock in the United States and Manulife elsewhere. We provide financial advice, insurance, as well as wealth and asset management solutions for individuals, groups and institutions. At the end of 2017, we had approximately 34,000 employees, 73,000 agents, and thousands of distribution partners, serving more than 26 million customers. As of December 31, 2017, we had over $1.04 trillion (US$829.4 billion) in assets under management and administration, and in the previous 12 months we made $26.7 billion in payments to our customers. Our principal operations are in Asia, Canada and the United States where we have served customers for more than 100 years. With our global headquarters in Toronto, Canada, we trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=244704&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6576e3e&cb=1524597911376&jobListingId=2744740576
JD_2658464530,Data Scientist, BNP Paribas, – Montreal, 18 days ago,"Overall description: The Innovation Program falls under the Transformation team perimeter and is responsible for the management and co-ordination of innovation strategy for the Americas region. The Innovation Program will be a platform to innovate and implement ideas that positively influence how we operate and challenge the status quo of the organization.  Under the umbrella of the Innovation Program a Lab is being established with the goal of supporting CIB Americas maximize their understanding of customers, products, services and operations and to drive data-based opportunities identification, innovation and product design.  The Data Scientists will be part of the core team and will support the head of lab in analyzing business issues / opportunities and solve them through a deep data analytical approach. This position will bring analytical rigor and statistical methods to improve client experience, marketing strategy, platform efficiency and employee experience. Responsibilities: Be a center of expertise for data driven analysis, and a driving force for its deployment in BNPP Americas:  • Uncover hidden patterns in BNPP Americas’ data to generate new market opportunities as well as an enhanced client experience.  • Apply advanced statistical models to perform patterns identification, and add predictive analysis to enhance its insights.  • Provide knowledge on technology and business trends advising on potential benefits and impacts.  • Explore data valuation opportunities through the delivery of enhanced analytics and the design / development of data-driven products.  • Translate data insights into tools and solutions deployable by businesses such as consolidated data sources in one visual display, smart forecasting tools, commercial steering tools, quality improvements of BNPP’s user facing products, etc.  • Partner with IT initiatives and provide input and enhancement recommendations where appropriate. Minimum required qualifications: • Master’s degree in MIS, Computer Science, Statistics, Mathematics, or other IT related field  • At least 1 year of relevant work experience (e.g., as a statistician/ data scientist / computational biologist), including deep expertise and experience with statistical data analysis. Analytical engagements outside class work while at school can be included.  • Expertise in data analytics, data science and data visualization.  • Development experience in major analytics programming language (Python, Java, C , …).  • Expertise in applying machine learning algorithms (Clustering, neural networks, …).  • Experience using mathematical techniques to uncover business trends and solve business issues and translate into recommendation.  • Demonstrated skills in selecting the right tools given a data analysis problem.  • Excellent verbal and written communication skills and proficiency to interact professionally  • Very strong work ethic and ability to deal with confidential information Additional Qualifications: • Knowledge of big data technologies (HDFS, Spark, Drill,….) is a plus  • Agile to quickly adapt to new situations and conduct projects in a fluid work environment  • Ability to go beyond existing frameworks by suggesting new ideas which are suitable for clients and/or the organization A recruitment policy that promotes equity and diversity:Equity and diversity are at the core of our recruitment policy because we believe that they foster creativity and efficiency which in turn increase performance and productivity. We strive to reflect the society we live in, while keeping with the image of our clients.We pride ourselves in applying non-discrimination rules to all our recruitments.We will only contact the candidates selected who meet the job requirements in terms of training and experience.About BNP Paribas BNP Paribas has a presence in 75 countries with more than 180,000 employees, including 140,000 in Europe. It ranks highly in its two core activities: Retail Banking & Services (comprised of Domestic Markets and International Financial Services) and Corporate & Institutional Banking. In Europe, the Group has four domestic markets (Belgium, France, Italy and Luxembourg) and BNP Paribas Personal Finance is the leader in consumer lending. BNP Paribas is rolling out its integrated retail banking model across Mediterranean basin countries, in Turkey, in Eastern Europe and a large network in the western part of the United States. In its Corporate & Institutional Banking and International Financial Services activities, BNP Paribas also enjoys top positions in Europe, a strong presence in the Americas and solid and fast-growing businesses in Asia-Pacific.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=134733&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1a1386c1&cb=1524597911377&jobListingId=2658464530
JD_2696809595,Data Scientist, Numeris, – Toronto, 7 days ago,"Data ScientistToronto, OntarioSummary We are looking for a Data Scientist whose primary responsibilities will include the data mining, modelling, imputation, and fusion/integration of media and consumer datasets to gain beneficial insights for Numeris, its members and the Canadian media industry. Secondary responsibilities will include the development of models/inferences based on internal operational data to reduce uncertainty, improve operations and forecast outcome. ResponsibilitiesData Mining, Modelling, Imputation, and Fusion/Integration: · Conducts data mining, modelling, imputation, and fusion/integration projects.  · Develops modelling algorithms to can be deployed for production improvements.  · Generates and enhances inferential statistical models for numeric, categorical, and mixed data.  · Assesses and designs, as needed, fusion/integration and modelling approaches while documenting all processes and procedures used to produce the expected outcomes.  · Cleans, modifies and formats large data sets, and works across a broad range of data platforms, formats and processing techniques.  · Transforms large amounts of data into relevant and actionable industry insights.  · Uses advanced analytical techniques such as: Frequentist Modelling (e.g., Generalized Linear Models [GLM] and Mixed-Models [GLMM], Structural Equation Models [SEM], Loglinear Models), CHAID and Classification techniques, Bayesian Modelling (e.g., Monte-Carlo Markov Chains [MCMC], Bayesian Regression, Gibbs Sampling), Simulation and Forecasting Techniques, Bootstrapping, and Machine Learning Techniques (e.g., Classification and Regression Trees [CART], Multivariate Adaptive Regression Splines [MARS])  · Assist Research Methodologists and Sample Design & Control staff with the analysis of Research projects and datasets.  · Liaises with Data Services, Data and Survey Controls, and Information Technology, as required.  · Uses strong communication skills to disseminate findings, conclusions and recommendations across the organization.  · Develops new technical skills and improves business knowledge to encourage innovative approaches within the company. Management: · Provides guidance, information training or instruction to colleagues and co-workers. Other: · Complies with the company’s vision, fundamentals, policies and procedures  · Performs other tasks as assigned by management Skills & QualificationsEducation & Certifications · Post-secondary completion (i.e., Masters or Doctorate in Science with very strong statistical and computational skills) or equivalent combination of education and three-five years of experience required. Skills & Experience · Advanced knowledge of parametric and non-parametric frequentist inference, classification, decision making, and modelling techniques (e.g., GLM, GLMM, SEM, Loglinear) required.  · Advanced knowledge of Bayesian inference, decision making, and modelling (e.g., MCMC, Bayesian Regression, Gibbs Sampling) required.  · Advanced knowledge of data mining, machine learning, and predictive analytics (e.g., CART, MARS) required.  · Knowledge of privacy models such as Differential, LKC, for data sharing/integration, an asset.  · Knowledge of survey sampling techniques.  · Expert level knowledge of statistical packages such as R, SAS or SPSS required.  · Knowledge of SQL Server and Oracle an asset.  · Knowledge of Python an asset.  · Knowledge of MS Office (Word, Excel, PowerPoint and Outlook) Access, SQL.  · Strong communication skills to present models and results to varying audiences.  · Knowledge of radio/television marketing, financial planning and project management, an asset. Values Integrity, Accountability, Collaboration, Innovation, Customer Centricity Numeris is an equal opportunity employer. We are committed to inclusive, barrier-free recruitment and selection processes and work environments. If you are contacted for a job opportunity, please advise the People and Culture department if any accommodations are needed to ensure you have access to a fair and equitable process. Any information received relating to accommodation will be addressed confidentially.",2018-04-24,canada,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=264859&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2964a993&cb=1524597911380&jobListingId=2696809595
