id,positClean,companyClean,dateClean,skills,education,language,dateCollect,country,cityClean,stateClean,url
JD_2602162136,Data Scientist,FreshBooks,2018-04-21, model model scripting python sql spark hadoop sas value,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=327602&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e3dba646&cb=1524597911364&jobListingId=2602162136
JD_2696666093,Data Scientist,Capital One,2018-04-17, value value server database data integration model regression visualization python scala r database model visualization tableau petabyte aws python r scala database sql aws python sql, bachelor master,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=326065&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_536af3ec&cb=1524597911365&jobListingId=2696666093
JD_2735154149,Data Scientist,Sinalite,2018-04-16, model visualization machine learning r sql python scala java tableau,,,2018-04-24,canada,Markham,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=273855&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_931631b9&cb=1524597911366&jobListingId=2735154149
JD_2737874996,Data Curation Scientist,Dialpad  Inc,2018-04-18, latency database data set cloud model python scripting mean, phd, english english spanish,2018-04-24,canada,Kitchener,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=320461&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec31c237&cb=1524597911369&jobListingId=2737874996
JD_2738712740,Data Scientist,Shopify,2018-04-19, model model python sql regression tableau mode visualization sas,,,2018-04-24,canada,Canada,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=135414&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ca15e697&cb=1524597911371&jobListingId=2738712740
JD_2744971439,Data Scientist,Sickkids,2018-04-23, feature r,, english french,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d29f5615&cb=1524597911373&jobListingId=2744971439
JD_2721005987,Data Scientist,Kabam,2018-04-03, model data set model mathematica econometrics python r aws spark hadoop nosql,,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=337541&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_24e3a837&cb=1524597911375&jobListingId=2721005987
JD_2744740576,Senior Data Scientist,Manulife,2018-04-23, model algorithm model algorithm unstructured data python hadoop spark kafka hbase hive unstructured data, phd,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=244704&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6576e3e&cb=1524597911376&jobListingId=2744740576
JD_2658464530,Data Scientist,BNP Paribas,2018-04-06, database de-identification model de-identification mathematica visualization python java algorithm clustering mathematica spark drill model, master,,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=134733&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1a1386c1&cb=1524597911377&jobListingId=2658464530
JD_2696809595,Data Scientist,Numeris,2018-04-17, median data set median algorithm model model model model classification regression classification regression regression data set classification regression model r sas spss sql server python excel sql model value, master,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=264859&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2964a993&cb=1524597911380&jobListingId=2696809595
