id,positJob,company,city_state,date,descrip,dateCollect,country,url
jk=3c0374d715440a37,Data Scientist,LEVEE,"São Paulo, SP",há 17 dias,"LEVEE – DATA SCIENTIST
LEVEE é uma empresa nascida no Vale do Silício, Califórnia/EUA, e temos como objetivo usar a tecnologia para impactar a sociedade contribuindo com a sustentabilidade e a ampliação da produtividade das empresas através de vários produtos nossos.

LEVEE é uma empresa de tecnologia, possui a plataforma Emprego Ligado, que é a maior gestora de vagas operacionais na América Latina. Utilizamos touchpoints digitais (mobile app, progressive web app, chat-bot) e inteligência artificial para trazer empregabilidade àqueles que mais precisam, as classes C, D e E, que representam 85% da força de trabalho no país. Você será responsável pela primeira impressão do futuro cliente da LEVEE! Venha nos ajudar a revolucionar o mundo, buscamos profissionais apaixonados por tecnologia!
Data Science na LEVEE:
Na LEVEE, Data Science vai muito além de ser apenas mais uma ferramenta para oferecer serviços adicionais. Na LEVEE Data Science é um componente crítico do core business e parte fundamental da oferta de valor aos nossos clientes. Usamos técnicas de Data Science e AI para encontrar a melhor combinação entre candidatos e vagas, otimizando a produtividade das empresas e melhorando a qualidade de vida dos funcionários.
Requirements:O perfil que buscamos:Perfil analítico; disposição para pesquisar, sugerir e aplicar novas técnicas
Inferência estatística
Identificação e classificação de padrões
Machine learning
Redes neurais
Sólido conhecimento das principais técnicas empregadas em Data Science
Experiência prática na implementação de modelos de Data Science
Conhecimento das principais ferramentas e linguagens de programação utilizadas em Data Science
Oh, we almost forgot. You’ll be speaking and writing in English all the time. You don’t necessarily have to fluent, but you have be comfortable working in English.
Diferenciais:Mestrado ou doutorado em computação, engenharia, matemática ou estatística
Experiência em sistemas georreferenciados
Benefits:
Um pouco mais sobre a LEVEE
A LEVEE preza por um ambiente agradável, com mesa repleta de frutas, puffs, Gympass, sem contar que estamos no coração da Vila Madalena. Nosso time é composto por pessoas apaixonadas pelo que fazem e comprometidas com a qualidade e o resultado final.",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=3c0374d715440a37&fccid=a4af3e2b1fc6ed26&vjs=3
jk=daf7db7aa9325bfd,Data Scientist,Nubank,"São Paulo, SP",há 30+ dias,"Why do we hire data scientists?
Nubank is a technology company that has set out to completely rethink financial services in Brazil. We need world-class data scientists (and modelers, statisticians, AI practitioners, machine learning engineers) to build proprietary algorithms that predict responsiveness to marketing, credit risk, fraud likelihood and many other types of customer behavior to get us there.
Meet The Nubankers - Luam Totti: http://sou.nu/scientistnu

What are some examples of problems a data scientist solves?
At Nubank, we don’t shy away from using the latest and greatest machine learning algorithms and techniques; in fact, we encourage them. We have a rich dataset with natural language text, images, graphs, and much more, as well as more traditional sources of financial data. We also have an almost endless set of models to build, including everything from credit scoring to text tagging. Below are just a few of the problems a Nubank data scientist might solve:
Create thousands of new predictive variables using your intuition, sociological insight and automation techniques
Discover and evaluate the usefulness of new data sources
Automate the creation of hundreds of different machine learning models
Find the most profitable people to market credit cards to
Underwrite and assign spending limits to credit card applicants
Thwart identity theft and credit card transaction fraud
Requirements:
You will fit well if
You are ambitious and razor sharp with tremendous potential
You have a rigorous quantitative bent to your work
You have a burning desire to use data and analysis to change the financial services world
You like finding new, better solutions to “solved problems”
You learn fast and easily adapt to changing situations and priorities

We are excited to meet people with various areas of expertise (both experienced and college seniors) – there is no single ideal profile. We believe there is room for very diverse skill sets to add value.
You will experience an early stage startup culture in a truly diverse and international environment. We believe in good team chemistry, flat hierarchy, enthusiasm for creating things, and our surprising capacity to learn new things when we stay humble and open-minded. A quantitative academic background with advanced degrees and English language proficiency are helpful.

Desired skills and experience
We are excited to meet data scientists with various areas of experience – there is no single ideal profile. We believe there is room for very diverse skill sets to add value:
3+ years of relevant professional or academic experience in a highly quantitative field (e.g. statistics, computer science, mathematics, physics, genetics, econometrics, biostatistics)

OR
Multiple notable finishes in machine learning competitions
Experience working with languages that support statistical learning (e.g. Python, R, Scala)
An advanced ability to work on distributed cloud platforms and interact with databases
Benefits:Competitive compensation package including opportunity to earn equity ownership in Nubank
Health, dental and life insurance
Meal allowance (“vale refeição”)
Transportation voucher (Vale Transporte)
Casual and international environment
Cool office with a great location)
Flexibility to choose your own custom setup (computer, monitors, OS etc.)
",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=daf7db7aa9325bfd&fccid=1319f0c8ca907f90&vjs=3
jk=590fa3511eb34f3e,Analista de BI Junior - Data Scientist | Júnior,RankMyApp,"São Paulo, SP",há 25 dias,"Habilidades: Data science, SQL, Excel, Big Data Requirements
Mandatory:
Advanced english (part of the interview will be in english);
Perfect portuguese (written test will be mandatory);
Advanced knowledge with data analytics and statistics;
Advanced Excel;
Great oratory and public posture;
SQL Server / ELT knowledge;
BI Plataform knowledge - Power BI;
Personal laptop;
Fast learner;
Entrepreneurial mindset;
Availability to work in Sao Paulo full-time.
Preferred:
Degree in IT, engineering or statistics areas;
Interest in mobile marketing.

Responsibilities
Plan, create, send and analyze reports;
Control team deadlines;
Create a data structure integrated with all company areas;
Collect, analyze and interpret data;
Maintain database by entering, verifying, and backing up data;
Help the all areas to implement new data processes;
Requirements
Mandatory:
Advanced english (part of the interview will be in english);
Perfect portuguese (written test will be mandatory);
Advanced knowledge with data analytics and statistics;
Advanced Excel;
Great oratory and public posture;
SQL Server / ELT knowledge;
BI Plataform knowledge - Power BI;
Personal laptop;
Fast learner;
Entrepreneurial mindset;
Availability to work in Sao Paulo full-time.
Preferred:
Degree in IT, engineering or statistics areas;
Interest in mobile marketing.

Responsibilities
Plan, create, send and analyze reports;
Control team deadlines;
Create a data structure integrated with all company areas;
Collect, analyze and interpret data;
Maintain database by entering, verifying, and backing up data;
Help the all areas to implement new data processes;
RankMyApp is an App Store Optimization (ASO) tool, SEO for Apps, that helps you get more visibility and more organic downloads on the app stores in a simple and smart way
Benefits - Save time:
– our algorithm finds the best keywords for your app.
Save more time – we map out your market segment and competition.

Improve your rankings – gain more visibility and more downloads.

Start putting more intelligence into your app marketing today!",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=590fa3511eb34f3e&fccid=a1c984a5f94337ec&vjs=3
jk=747ae0170c04aba9,Data Scientist,GeekHunter,"São Paulo, SP",há 30+ dias,"A well-funded Brazilian startup, is looking
for a developer with Machine Learning experience. An urban logistics
company bringing instant delivery within anyone's reach, offering
state-of-the-art dispatching, routing, pricing, real-time tracking and billing.
Founded in São Paulo, Brazil, uses the massive network of motor couriers
to form a logistics network that is fast and reliable. Our web/mobile platform
and API offer unmatched convenience, reliability, reach and timely delivery
through a user friendly interface, real customer support, and fully legalized
couriers - at a better price vs alternatives.
Doing real time logistics isn't easy. We need to
balance supply vs demand regionally, reducing allocation and pickup time. You
will help us improve our fleet efficiency by digging through a huge mountain of
historical and real-time generated data, and help our motor couriers better
positioning. Each improvement on those results play a significant role in our
success, and make same day delivery more accessible to a broader audience. Here you will be working with our engineers to architect, deploy, develop and
tune our ML stack.
You
·
Have a good grasp of the various
Statistical Models, Machine Learning and Discrete Optimization concepts
·
Have exceptional analytical and
quantitative problem-solving skills
·
Have real world experience designing
and implementing algorithms to tackle a hard problem
·
Are a team player: we have no rock
stars. We do, however foster a culture of collaboration and sharing
·
Have the ability to communicate
complex concepts effectively – both verbally and in writing
We
provide
·
Fun, laid-back environment in a fast
paced startup
·
Feedback and brainstorming directly
with the founders
·
No bureaucracy, no bull****
·
Competitive compensation based on
your experience
·
If from abroad: full assistance in
the immigration/moving process
·
Choice of tools
Our
Current Stack
·
Mixed fleet of AWS and other
dedicated server hosting providers
·
Docker for distributing services
·
PostgreSQL for relational storage
·
Citus for logging and OLAP loads
·
InfluxDB and Redshift for metrics
·
And a bunch of other stuff, let's not
spoil the surprise

Habilidades Obrigatórias
... Habilidades Desejáveis A vaga aceita trabalho remoto?
Não",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=747ae0170c04aba9&fccid=9ba8dec3013c0c90&vjs=3
jk=1ee57f60b2ec2969,Data Scientist,Loggi,"São Paulo, SP",há 30+ dias,"Loggi, a well-funded Brazilian startup, is looking for a developer with Machine Learning experience. Loggi is an urban logistics company bringing instant delivery within anyone's reach, offering state-of-the-art dispatching, routing, pricing, real-time tracking and billing. Founded in São Paulo, Brazil, Loggi uses the massive network of motor couriers to form a logistics network that is fast and reliable. Our web/mobile platform and API offer unmatched convenience, reliability, reach and timely delivery through a user friendly interface, real customer support, and fully legalized couriers - at a better price vs alternatives.

Doing real time logistics isn't easy. We need to balance supply vs demand regionally, reducing allocation and pickup time. You will help us improve our fleet efficiency by digging through a huge mountain of historical and real-time generated data, and help our motor couriers better positioning. Each improvement on those results play a significant role in our success, and make same day delivery more accessible to a broader audience. At Loggi you will be working with our engineers to architect, deploy, develop and tune our ML stack. You
Have a good grasp of the various Statistical Models, Machine Learning and Discrete Optimization concepts
Have exceptional analytical and quantitative problem-solving skills
Have real world experience designing and implementing algorithms to tackle a hard problem
Are a team player: we have no rock stars. We do, however foster a culture of collaboration and sharing
Have the ability to communicate complex concepts effectively – both verbally and in writing We provide
Fun, laid-back environment in a fast paced startup
Feedback and brainstorming directly with the founders
No bureaucracy, no bull****
Competitive compensation based on your experience
If from abroad: full assistance in the immigration/moving process
Choice of tools
We will gift to you a technical updating conference of your choosing, after completing one year as a Logger Our Current Stack
Mixed fleet of AWS and other dedicated server hosting providers
Docker for distributing services
PostgreSQL for relational storage
Citus for logging and OLAP loads
InfluxDB and Redshift for metrics
And a bunch of other stuff, let's not spoil the surprise
Next Steps: 
Apply to this post! 
We'll get back to you in no more than 72 hours. 
PS: Applicants from anywhere are very welcome, however, this is an on-site position. We're happy to help with immigration issues for the right candidate.",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=1ee57f60b2ec2969&fccid=beae102407e0c245&vjs=3
jk=5968d73a6848195f,Data Scientist - Advanced Analytics,McKinsey & Company,"São Paulo, SP",há 30+ dias,"Qualifications
University degree and excellent academic record required
Ph.D degree in Computer Science is highly desired
Candidates with a Ph.D in other quantifiable fields (e.g., Statistics, Mathematics, Physics) with applied practical experience and programming background are also desirable
Experience in Computer Science, Engineering, Statistics, Physics, Mathematics, Operations Research or equivalent technical field
2+ years of professional experience in applying machine learning and data mining techniques to real problems with copious amounts of data
Ability to independently own and drive model development, balancing demands and deadlines
Ability to prototype statistical analysis and modeling algorithms and apply these algorithms for data driven solutions to problems in new domains
Proficiency in R, SAS, SPSS or other statistical package
Experience in working with large datasets and relational databases is highly desirable (SQL)
Knowledge of additional programming languages is a plus (Python, C++, Java)
Exceptional analytical and quantitative problem-solving skills
Ability to work collaboratively in a team environment
Ability to work effectively with people at all levels in an organization
Ability to communicate complex ideas effectively – both verbally and in writing – in English and Portuguese.
Willingness to travel
Who You'll Work With
You’ll work with our Analytics group in São Paulo, Brazil. As a member of this team, you’ll work with McKinsey consulting teams to carry out complex data analysis and modeling, creating a foundation for sound recommendations for client studies and internal projects.
What You'll Do
You will work on all aspects of the design, development and delivery of machine learning enabled solutions for our clients and consulting teams.

This includes collaborating on problem definition, data acquisition, data exploration and visualization, feature engineering, experimenting with ML algorithms, evaluating and comparing metrics, deploying the models, iteratively improving the solution, and building the tools for this process, etc.

You will work with data from diverse structured and unstructured data sources in both batch and streaming modes. You will work with consultants, clients or internal teams to prepare complex data analyses and models that help solve client problems and deliver significant measurable impact. You will often be responsible for the entire analytical process – from outlining the type of solution through implementation, interpretation of results and transferring capabilities to the client or colleagues.

You will constructively discuss your findings in collaboration with consultants and clients while always looking for the best solution. Some work at the client site is expected. Working on projects and exchanging experiences with your colleagues means you will face new intellectual challenges on a daily basis, while continuously building your methodological knowledge and skills.",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=5968d73a6848195f&fccid=6576e7250aa78c3c&vjs=3
jk=5fb2457bb87dfb73,CONSULTOR DATA SCIENCE SAO PAULO,managementsolutions,"São Paulo, SP",há 30+ dias,"A Management Solutions é uma firma internacional de consultoria, centrada em assessoria de negócio, riscos, finanças, organização e processos; tanto nos seus componentes funcionais, como na implantação das suas tecnologias relacionadas. Trabalhamos fundamentalmente no setor financeiro e nos setores de energia e telecomunicações. A Management Solutions desenvolve a sua atividade através de 24 escritórios, 11 na Europa, 12 na América e 1 na Ásia, com uma equipe multidisciplinar de cerca de 2.000 profissionais. Para mais informação sobre a firma visite: www.managementsolutions.com

Functions

Tratamento estatístico de dados (data mining). - Modelagem preditiva mediante técnicas de machine learning e data science. - Modelagem de eventos temporais (séries temporais, modelos ARIMA). - Desenvolvimento de modelos de simulação (Monte Carlo). - Revisão e validação de modelos de rating e scoring, RAROC e parâmetros de risco. - Apoio matemático ao negócio: desenvolvimento de algoritmos, estatística e probabilidade. - Projetos de I+D.

Requirements

Estudantes em fase de conclusão ou recém-formados em Matemáticas, Físicas, Estatística, Econometria, Engenharia ou outros estudos com forte componente quantitativo. Valorizamos a realização de estudos específicos de pós-graduação, em especial Data Science, Finanças Quantitativas ou similar. Também valorizamos conhecimento de técnicas de modelagem (logit, GLM, séries temporais, árvores de decisão, clustering, etc.), linguagens de programação estatística (SAS, R, Python, Matlab, etc.) e ferramentas e plataformas de big data (Hadoop, MongoDB, Cassandra, Pig, Hive, etc.). Alto nível de inglês e conhecimento de outros idiomas. Disponibilidade para viajar. Outros aspectos: sólida trajetória acadêmica, dinamismo, vontade de superação, capacidade de trabalho, maturidade, responsabilidade e facilidade de integração em equipes de trabalho multidisciplinares.

Is offered

Oferecemos a você a possibilidade de fazer parte da maior e mais sólida equipe de metodólogos e data scientists do setor, trabalhando nos projetos de consultoria mais relevantes, para as maiores companhias líderes nos seus respetivos mercados, junto do top management empresarial, diante dos seus desafios nacionais e internacionais, junto de uma extraordinária equipe de profissionais, cujos valores e cultura corporativa são uma referência no setor.
Plano de formação contínuo: - máis de 260 horas de formação durante os dois primeiros anos - Cursos de conhecimentos, cursos externos especializados, de habilidades e de idiomas .
Plano de carreira claramente definido:
- Progressão interna baseada no desempenho e potencial;
- Gestão baseada em partnership, oferecendo a cada profissional o objetivo de fazer parte do corpo de sócios da empresa..
Atividades complementares:
-Universidade: mantemos estreita relação com as universidades mais prestigiosas a nível mundial.
Ação Social: organizamos mais de 30 atividades solidárias a cada ano.
Clube desportivo: organizamos campeonatos internos e participação em corridas de rua.",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=5fb2457bb87dfb73&fccid=f3eca80b6759548b&vjs=3
jk=f087188008b7af9f,Data Scientist - Product,TFG Co,"São Paulo, SP",há 4 horas,"O que é a TFG?

A TFG é a maior empresa de jogos mobile da América Latina, e uma das maiores do mundo. Ao longo de seis anos, os mais de 60 títulos lançados pela empresa alcançaram mais de 700 milhões de downloads em 115 países, com uma equipe que começou com apenas dois irmãos e hoje reúne cerca de 140 pessoas em São Paulo. A missão da TFG é ser a melhor empresa de jogos do mundo. Para isso, procuramos reunir times excepcionais em engenharia de software, arte e animação, produto, distribuição e ciência de dados.

Como é o trabalho?

A missão dos data scientists na TFG é usar os dados à disposição da empresa para tornar os nossos jogos mais divertidos e mais rentáveis. Os data scientists de produto dão suporte empírico e analítico às decisões mais importantes relacionadas aos jogos — recomendando a implementação de features, calibrando os mecanismos de progresso dos jogadores, analisando as estratégias de engajamento e monetização, modelando os padrões de consumo de itens virtuais, etc. Experimentos, modelos estatísticos e visualizações informativas fazem parte das nossas atividades cotidianas.

Por que trabalhar com a gente?

Você vai trabalhar com pessoas excepcionais, em um time pequeno, com um grau enorme de autonomia e controle sobre o próprio trabalho. A empresa é um prato cheio para um data scientist, com grande volume e diversidade de dados, problemas abertos e desafiadores, acesso às tecnologias mais avançadas do mercado, e uma cultura que valoriza decisões fundamentadas em análises. O ambiente de trabalho é acolhedor e livre de politicagem — as pessoas na TFG se concentram em fazer um bom trabalho, não em promoção pessoal. A remuneração é acima da média do mercado e os mimos são muitos! Responsabilidades",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=f087188008b7af9f&fccid=64ebc2224458c8be&vjs=3
jk=4c2185994d4c4a2a,Data Scientist,IBM,20000-000,há 30 dias,"Job Description
Possesses knowledge of Advanced Analytics solutions and services in the area of optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics.
Responsibilities include defining the key business problems to be solved, formulating mathematical approaches to solve those problems, gathering of data to solve those problems, and developing analyzing/drawing conclusions & giving the presentations.
Skills include mathematical optimization, discrete-event simulation, rules programming and predictive analytics.
Important to know: CPLEX Nice to have: Gurobi, ODM, Anylogic, Arena, SPSS, SAS, R, and Python .

**Todas as nossas vagas são elegíveis para pessoas com deficiência ou reabilitadas

Required Technical and Professional Expertise

Possesses knowledge of Advanced Analytics solutions and services in the area of optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics

Preferred Tech and Prof Experience

n/a

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=4c2185994d4c4a2a&fccid=de71a49b535e21cb&vjs=3
jk=17a23be88ffa876b,Data Scientist - Machine Learning Engineer,Nubank,"São Paulo, SP",há 30+ dias,"Why do we hire data scientists?

Nubank is a technology company that has set out to completely rethink financial services in Brazil. We need world-class data scientists (and modelers, statisticians, AI practitioners, machine learning engineers) to build proprietary algorithms that predict responsiveness to marketing, credit risk, fraud likelihood and many other types of customer behavior to get us there.
Meet The Nubankers - Luam Totti: http://sou.nu/scientistnu

What are some examples of problems a Machine Learning Engineer solves?

At Nubank, we don't shy away from using the latest machine learning algorithms, techniques and technologies; in fact, we encourage them. We use a database technology that virtually eliminates potential sources of leakage, which means you can spend less time worrying about data quality and more time building the most sophisticated models in the financial services industry. We have rich datasets with natural language text, images, graphs, and much more, as well as more traditional sources of financial data. A machine learning engineer's goal is to help us translate all this into value for Nubank and our customers. Below are just a few of the problems you might solve:
Automate the creation and tuning of hundreds of different machine learning models
Build infrastructure to decrease the time a model takes to go from inception to production
Build infrastructure to help us bring more complex models to production
Use Natural Language Processing to understand text content
Help monitor the state of our models using advanced statistical techniques
Increase our capacity to do online (low-latency) modelling
Create new predictive variables using your intuition, sociological insight and automation
Scale Data Science for the company
Requirements:
You will fit well if
You are driven and enjoy shipping new features and models
You are hungry and enjoy being constantly challenged to learn and do more
You embrace conflict of ideas and like to question the status quo
You learn quickly and easily adapt to changing situations and priorities
You believe in building phenomenal products and doing great work by international standards
You want to understand the big picture, to be held accountable and make a meaningful contribution with your work

We are excited to meet people with various areas of expertise (both experienced and college seniors) – there is no single ideal profile. We believe there is room for very diverse skill sets to add value.
You will experience an early stage startup culture in a truly diverse and international environment. We believe in good team chemistry, flat hierarchy, enthusiasm for creating things, and our surprising capacity to learn new things when we stay humble and open-minded. An engineering or computer science undergraduate degree is helpful.
Examples of relevant experience we value:Solid engineering and coding skills. Ability to write high performance production quality code. Experience in Scala, Python, Clojure and other similar languages is a plus
Industry experience building and productionizing innovative end-to-end Machine Learning systems
Experience working with large, real world data — big, messy, incomplete, full of errors
Good understanding of common families of models, feature engineering, feature selection and other practical machine learning issues, such as overfitting
Experience with Apache Hadoop, Spark, Solr/Lucene, Cassandra and related technologies
Working knowledge of SQL, Hive, Pig, and other query languages
Experience with machine learning tools and libraries such as Scikit-learn, Mllib, TensorFlow
Intuition about algorithm and system performance and throughput
An advanced ability to work on distributed cloud platforms and interact with databases
English language proficiency (portuguese is not required)
Benefits:Competitive compensation package including opportunity to earn equity ownership in Nubank
Health, dental and life insurance
Meal allowance (""""vale refeição"""")
Flexibility to choose your own custom setup (computer, monitors, OS etc.)
",2018-02-10,Brasil,https://www.indeed.com.br/viewjob?jk=17a23be88ffa876b&fccid=1319f0c8ca907f90&vjs=3
