id,positJob,company,city_state,date,descrip,dateCollect,country,url
jk=ed01ec9383426753,Data Scientist - Machine Learning Engineer,Nubank,"São Paulo, SP",há 11 dias,"Why do we hire data scientists?

Nubank is a technology company that has set out to completely rethink financial services in Brazil. We need world-class data scientists (and modelers, statisticians, AI practitioners, machine learning engineers) to build proprietary algorithms that predict responsiveness to marketing, credit risk, fraud likelihood and many other types of customer behavior to get us there.
Meet The Nubankers - Luam Totti: http://sou.nu/scientistnu

What are some examples of problems a Machine Learning Engineer solves?

At Nubank, we don't shy away from using the latest machine learning algorithms, techniques and technologies; in fact, we encourage them. We use a database technology that virtually eliminates potential sources of leakage, which means you can spend less time worrying about data quality and more time building the most sophisticated models in the financial services industry. We have rich datasets with natural language text, images, graphs, and much more, as well as more traditional sources of financial data. A machine learning engineer's goal is to help us translate all this into value for Nubank and our customers. Below are just a few of the problems you might solve:
Automate the creation and tuning of hundreds of different machine learning models
Build infrastructure to decrease the time a model takes to go from inception to production
Build infrastructure to help us bring more complex models to production
Use Natural Language Processing to understand text content
Help monitor the state of our models using advanced statistical techniques
Increase our capacity to do online (low-latency) modelling
Create new predictive variables using your intuition, sociological insight and automation
Scale Data Science for the company
Requirements:
You will fit well if
You are driven and enjoy shipping new features and models
You are hungry and enjoy being constantly challenged to learn and do more
You embrace conflict of ideas and like to question the status quo
You learn quickly and easily adapt to changing situations and priorities
You believe in building phenomenal products and doing great work by international standards
You want to understand the big picture, to be held accountable and make a meaningful contribution with your work

We are excited to meet people with various areas of expertise (both experienced and college seniors) – there is no single ideal profile. We believe there is room for very diverse skill sets to add value.
You will experience an early stage startup culture in a truly diverse and international environment. We believe in good team chemistry, flat hierarchy, enthusiasm for creating things, and our surprising capacity to learn new things when we stay humble and open-minded. An engineering or computer science undergraduate degree is helpful.
Examples of relevant experience we value:Solid engineering and coding skills. Ability to write high performance production quality code. Experience in Scala, Python, Clojure and other similar languages is a plus
Industry experience building and productionizing innovative end-to-end Machine Learning systems
Experience working with large, real world data — big, messy, incomplete, full of errors
Good understanding of common families of models, feature engineering, feature selection and other practical machine learning issues, such as overfitting
Experience with Apache Hadoop, Spark, Solr/Lucene, Cassandra and related technologies
Working knowledge of SQL, Hive, Pig, and other query languages
Experience with machine learning tools and libraries such as Scikit-learn, Mllib, TensorFlow
Intuition about algorithm and system performance and throughput
An advanced ability to work on distributed cloud platforms and interact with databases
English language proficiency (portuguese is not required)
Benefits:Competitive compensation package including opportunity to earn equity ownership in Nubank
Health, dental and life insurance
Meal allowance (""vale refeição"")
Flexibility to choose your own custom setup (computer, monitors, OS etc.)
",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=ed01ec9383426753&fccid=1319f0c8ca907f90&vjs=3
jk=7f8eb139ab411604,Data Scientist,BAIN & COMPANY,"São Paulo, SP",há 28 dias,"Overview
Company Overview
Bain & Company is one of the world's best companies to work for (voted No. 1 on Glassdoor for 2017). Since our radical beginnings as a challenger of the status quo, our formula for success has been simple—create a high-impact, supportive culture where immensely talented people are encouraged to be brilliant at what they do.
We pride ourselves on hiring the best of the best – we look for people who want to do great things; the learning curve is steep, and the exposure is energizing. Our global offices share a diverse, informal environment where you’ll feel at home, regardless of the city you’re in and you’ll work alongside some of the top people in their field.
In return we offer a competitive salary, bonus and benefits (including laptop, phone, health insurance, lunch & travel contribution as well as non-corporate dress code and state of the art offices). In addition, your professional development will be taken seriously from day one; you will experience some of the most comprehensive training in the industry.
Position Summary
Our Advanced Analytics Group is a team of experts in data science, engineering, marketing science, operations research and primary research. You will work alongside Bain’s consulting teams to provide high quality results for our clients, some of the most successful and pioneering businesses in the world.
You will also work to advance AAG’s and Bain’s analytic capabilities and provide training to the consulting staff as needed.
Responsibilities
Provide data science services to Bain case teams and clients worldwide. You will work with case teams to assess client demands and suggest data science methods that provide practical, value-added answers to the client and case teams.
Develop solutions that bring critical insights to wide scale of different problems such as targeting customers and segmenting markets, product design, marketing optimization, demand forecasting and brand valuation, profit and price analyses, and fraud detection.
Develop, prototype and test machine learning algorithms on data sets that can range from a few data points to billions.
Apply machine learning and statistical techniques including regression models, decision trees, random forests, gradient boosting, support vector machines, clustering and topic models.
Prepare various sources of data using data wrangling methods in Python, R and SQL, leveraging infrastructure including Cloud computing solutions and relational database enviroments
Keep abreast of new and current statistical methodologies, machine learning and data wrangling techniques.
Where appropriate, train other team members to support the use of data analytics tools and to expand the use of machine learning within Bain
Combine domain expertise to perform feature engineering
Qualifications
5+ years of experience with data science and statistical analysis in a business, marketing science or social science environment
A Masters’ Degree or Ph.D. in Computer Science, Artificial Intelligence, Applied Mathematics, Econometrics, Statistics, Physics or related field is desired
Strong background in Statistics and Mathematics
Proficiency in SQL is required, and familiarity with NoSQL data stores is a plus
Proficiency with data wrangling, visualization and modeling in either R or Python is required, familiarity with other analytical software such as SAS or SPSS is a plus.
Experience with explaining and performing a variety of data science and machine learning techniques
Examples of domain expertise in which we are interested is: predictive modeling, churn analysis, time series forecasting, computer vision, text mining, recommender systems, market basket analysis, segmentation, graph analytics, natural language processing and text analytics
Experience with dashboard and reporting tools such as Tableau and Qlik
Experience with deep learning tools such as Keras, TensorFlow or Theano is a plus.
Experience with distributed computing frameworks such as Hadoop and Spark is a plus
Experience with Git and modern software development workflow is a plus
Strong interpersonal and communication skills are a must.
Ability to explain and discuss mathematical and machine learning technicalities to a business audience.
Must thrive in a fast paced environment and be able to work independently
Travel required
Fluent in English and Portuguese or Spanish
Ind123",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=7f8eb139ab411604&fccid=48270b2eee62c2c6&vjs=3
jk=4f3e17be38fbbbce,Data Scientist,TFG Co,"São Paulo, SP",há 30+ dias,"O que é a TFG? A TFG é a maior empresa de jogos mobile da América Latina, e uma das maiores do mundo. Ao longo de seis anos, os mais de 60 títulos lançados pela empresa alcançaram mais de 900 milhões de downloads em 115 países, com uma equipe que começou com apenas dois irmãos e hoje reúne cerca de 190 pessoas em São Paulo. A missão da TFG é ser a melhor empresa de jogos do mundo. Para isso, procuramos reunir times excepcionais em engenharia de software, arte e animação, produto, distribuição e ciência de dados.
Como é o trabalho? A missão dos data scientists na TFG é usar os dados à disposição da empresa para tornar os nossos jogos mais divertidos e mais rentáveis. Os data scientists de produto dão suporte empírico e analítico às decisões mais importantes relacionadas aos jogos — recomendando a implementação de features, calibrando os mecanismos de progresso dos jogadores, analisando as estratégias de engajamento e monetização, modelando os padrões de consumo de itens virtuais, etc. Experimentos, modelos estatísticos e visualizações informativas fazem parte das nossas atividades cotidianas.
Por que trabalhar com a gente? Você vai trabalhar com pessoas excepcionais, em um time pequeno, com um grau enorme de autonomia e controle sobre o próprio trabalho. A empresa é um prato cheio para um data scientist, com grande volume e diversidade de dados, problemas abertos e desafiadores, acesso às tecnologias mais avançadas do mercado, e uma cultura que valoriza decisões fundamentadas em análises. O ambiente de trabalho é acolhedor e livre de politicagem — as pessoas na TFG se concentram em fazer um bom trabalho, não em promoção pessoal. A remuneração é acima da média do mercado e os mimos são muitos!

Requisitos
Habilidade matemática
Curiosidade intelectual
Comunicação clara
Interesse pelo mercado de tecnologia
Graduação ou pós-graduação em um curso quantitativo (engenharia, estatística, ciência da computação, economia, etc.) Plus
Familiaridade com modelagem estatística, especialmente inferência bayesiana
Experiência com R, Python, Spark, Stan, SQL, e algoritmos de classificação e regressão",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=4f3e17be38fbbbce&fccid=64ebc2224458c8be&vjs=3
jk=1ee57f60b2ec2969,Data Scientist,Loggi,"São Paulo, SP",há 30+ dias,"Loggi, a well-funded Brazilian startup, is looking for a developer with Machine Learning experience. Loggi is an urban logistics company cracking same-day delivery and bringing instant delivery within anyone's reach, offering state-of-the-art dispatching, routing, pricing, real-time tracking and billing. Founded in São Paulo, Brazil, Loggi uses the massive network of motor couriers to form a logistics network that is fast and reliable. Our web/mobile platform and API offer unmatched convenience, reliability, reach and timely delivery through a user friendly interface, real customer support, and fully legalized couriers - at a better price vs alternatives.
Doing real time logistics isn't easy. We need to balance supply vs demand regionally, reducing allocation and pickup time. You will help us improve our fleet efficiency by digging through a huge mountain of historical and real-time generated data, and help our motor couriers better positioning. You will also help us reduce failed delivery attempts by using our knowledge about the city. Each improvement on those results play a significant role in our success, and make same day delivery more accessible to a broader audience. At Loggi you will be working with our engineers to architect, deploy, develop and tune our ML stack.
We believe different people think differently, which leads us to diverse solutions and new ways of making it happen. We are committed with diversity in multiple ways: race, gender, sexual orientation, gender identity, age, religion and disability. Join the transformation! You
Have a good grasp of the various Statistical Models, Machine Learning and Discrete Optimization concepts
Have exceptional analytical and quantitative problem-solving skills
Have real world experience designing and implementing algorithms to tackle a hard problem
Are a team player: we have no rock stars. We do, however foster a culture of collaboration and sharing
Have the ability to communicate complex concepts effectively – both verbally and in writing We provide
Fun, laid-back environment in a fast paced startup
Feedback and brainstorming directly with the founders
No bureaucracy, no bull****
Competitive compensation based on your experience
If from abroad: full assistance in the immigration/moving process
Choice of tools
We will gift to you a technical updating conference of your choosing, after completing one year as a Logger Our Current Stack
Mixed fleet of AWS and other dedicated server hosting providers
Docker for distributing services
PostgreSQL for relational storage
InfluxDB and Redshift for metrics
And a bunch of other stuff, let's not spoil the surprise Next Steps: Apply to this post! We'll get back to you in no more than 72 hours. PS: Applicants from anywhere are very welcome, however, this is an on-site position. We're happy to help with immigration issues for the right candidate.",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=1ee57f60b2ec2969&fccid=beae102407e0c245&vjs=3
jk=8ca05ab9e2ac6b22,Senior Data Scientist - Advanced Analytics,McKinsey & Company,"São Paulo, SP",há 30+ dias,"Qualifications

MS in Computer Science, Engineering, Applied Math, Quantitative social sciences or related field
5+ years of deep technical experience in distributed computing, machine learning, and statistics related work
Programming experience with R, Python, C/C++, and/or Java
Proficiency in statistical data analysis and data mining packages SAS, SPSS, MatLab, R, STATA, Excel, etc.
Proven comfort and an intellectual curiosity for working with very large sets of data
Strong entrepreneurship required; self-starter, high-energy individual with ability to tailor and execute on own plan to reach objective
High end, consultative client development skills for professional services and business impact by developing new ways of serving clients
Excellent leadership skills and enjoys teaching/mentoring others
Strong communication skills, especially around breaking down complex structures into digestible and relevant points for a diverse set of clients and colleagues at all levels
Critical thinking and creative problem solving skills
Ability to influence and work in teams
Resourceful, tenacious, independent thought leader
A strong desire to learn and develop within a dynamic, self-led organization

Who You'll Work With

You’ll work with our Analytics group in São Paulo, Brazil.
As a member of McKinsey Analytics, you will be responsible for blending strategic thinking with the latest tools and technologies, advising on developing and defining strategies and solutions to help our clients around Latin America to solve their most critical problems. By applying advanced analytics to address challenges across different areas, we help our clients gain significant, sustained improvements in performance. We work with clients to identify where to focus, convert data and models into actionable insights, and develop institutional skills and structures to sustain impact. We use advanced analytics not only to improve the design of physical systems but also to address management infrastructures and employees’ attitudes and behaviors so that clients are able to lead change independently.

What You'll Do

You'll focus on three broad areas of responsibility, including analytics, client service support and development, and knowledge transfer and practice development.
You'll create valuable, transformative business strategies through the measurement, manipulation, reporting and dissemination of broad sets of data. You'll also apply and advise on state-of-the-art advanced analytic and quantitative tools and modeling techniques in order to derive business insights, solve complex business problems and improve decisions. You'll review, support and advise on the day-to-day analytics requirements of clients’ key operational processes while continually improving the impact of these processes, and you'll continually explore innovative analytical techniques, processes, tools, etc. to better serve clients and to be a thought leader in the industry.
As a core member of the consulting team, you'll conduct deep analytics on a broad set of client and external data and you'll have a lead role in team problem solving through findings and insights from analysis. You'll create value for clients by understanding their needs and translating them into optimal desired analytical services and you'll be a leader in overseeing analytics process and data integration between clients and McKinsey.
Furthermore, you'll lead and support the development of knowledge for our firm's analytic group. You'll create a roadmap for a greater understanding of analytics and its impact in the consulting population and you'll partner with Data Engineers to ensure timely and effective methods of the extraction, assembly and transfer of broad, complex sets of data.",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=8ca05ab9e2ac6b22&fccid=6576e7250aa78c3c&vjs=3
jk=2fe1649643e41128,Data Scientist,Nubank,"São Paulo, SP",há 11 dias,"Why do we hire data scientists?
Nubank is a technology company that has set out to completely rethink financial services in Brazil. We need world-class data scientists (and modelers, statisticians, AI practitioners, machine learning engineers) to build proprietary algorithms that predict responsiveness to marketing, credit risk, fraud likelihood and many other types of customer behavior to get us there.
Meet The Nubankers - Luam Totti: http://sou.nu/scientistnu

What are some examples of problems a data scientist solves?
At Nubank, we don’t shy away from using the latest and greatest machine learning algorithms and techniques; in fact, we encourage them. We have a rich dataset with natural language text, images, graphs, and much more, as well as more traditional sources of financial data. We also have an almost endless set of models to build, including everything from credit scoring to text tagging. Below are just a few of the problems a Nubank data scientist might solve:
Create thousands of new predictive variables using your intuition, sociological insight and automation techniques
Discover and evaluate the usefulness of new data sources
Automate the creation of hundreds of different machine learning models
Find the most profitable people to market credit cards to
Underwrite and assign spending limits to credit card applicants
Thwart identity theft and credit card transaction fraud
Requirements:
You will fit well if
You are ambitious and razor sharp with tremendous potential
You have a rigorous quantitative bent to your work
You have a burning desire to use data and analysis to change the financial services world
You like finding new, better solutions to “solved problems”
You learn fast and easily adapt to changing situations and priorities

We are excited to meet people with various areas of expertise (both experienced and college seniors) – there is no single ideal profile. We believe there is room for very diverse skill sets to add value.
You will experience an early stage startup culture in a truly diverse and international environment. We believe in good team chemistry, flat hierarchy, enthusiasm for creating things, and our surprising capacity to learn new things when we stay humble and open-minded. A quantitative academic background with advanced degrees and English language proficiency are helpful.

Desired skills and experience
We are excited to meet data scientists with various areas of experience – there is no single ideal profile. We believe there is room for very diverse skill sets to add value:
3+ years of relevant professional or academic experience in a highly quantitative field (e.g. statistics, computer science, mathematics, physics, genetics, econometrics, biostatistics)

OR
Multiple notable finishes in machine learning competitions
Experience working with languages that support statistical learning (e.g. Python, R, Scala)
An advanced ability to work on distributed cloud platforms and interact with databases
Benefits:Competitive compensation package including opportunity to earn equity ownership in Nubank
Health, dental and life insurance
Meal allowance (“vale refeição”)
Transportation voucher (Vale Transporte)
Casual and international environment
Cool office with a great location)
Flexibility to choose your own custom setup (computer, monitors, OS etc.)
",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=2fe1649643e41128&fccid=1319f0c8ca907f90&vjs=3
jk=75fdfc987cfc8169,Data Scientist Machine Learning,Ci&T,"Campinas, SP",há 10 dias,"Procuramos alguém que:Seja um cientista de dados apaixonado, buscando resolver grandes desafios usando Machine Learning
Seja dirigido à resultados e tenha um forte senso de propriedade da solução, entregando abordagens criativas e inovadoras para nossos clientes
Seja bom com números e programação
Goste de investigar dados e automatizar processos com soluções cognitivas.
Pense criticamente e seja detalhista, focando no que realmente importa.
Saiba trabalhar de forma colaborativa e autônoma, e independente, proporcionando visibilidade de seu progresso por meio de pequenas entregas.
Seja um contador de histórias que comunique de forma efetiva novas descobertas usando a visualização de dados para públicos técnicos e executivos
Tenha habilidades avançadas de comunicação oral e escrita em inglês.
Seja Bacharel em Ciência da Computação / Engenharia, Matemática Aplicada, Estatística, Física ou outras áreas quantitativas relacionadas.
Seja proficiente em linguagens como Python, R, Matlab, Bash e SQL, fazendo uso dos melhores

frameworks

para pipelines de

machine learning

e visualização de dados.
Tiver experiência com técnicas de

feature engineering

e algoritmos populares de

machine learning

.
Tiver capacidade de compreender e implementar algoritmos de

machine learning

baseados nos mais recentes trabalhos de pesquisa
Tiver capacidade de explorar grandes volumes de dados sem um problema específico definido, a fim de apresentar as perguntas certas e fornecer

insights

interessantes.
Tenha conhecimento de negócios e postura consultiva para identificar e analisar problemas, definir e testar hipóteses
Você será responsável por:Atacar problemas de negócio não-triviais de nossos clientes (Fortune 500 companies) aplicando método científico para testar hipóteses de negócios, usando dados de entrada estruturados ou não estruturados (por exemplo: documentos, registros, imagens, vídeos).
Fazer a análise exploratória de dados, criação de

data products

,

feature engineers

, treinamento e avaliação de modelos, implementação de

pipelines

e

machine learning

, avaliação e implantação de modelos em ambientes de nuvem de produção.
Você vai se destacar se:Possuir Mestrado ou Doutorado em Machine Learning / Data Mining / Statistics.
Possuir experiência com métodos estatísticos (probabilidade, teorema de bayes, correlações, teste de hipóteses, amostragem, causalidade)
Possuir experiência com Deep Learning for Computer Vision ou NLP
Possuir experiência com Deep Learning
Possuir experiência com problemas e frameworks de Otimização Combinatória
Tiver artigos de pesquisa publicados envolvendo técnicas de Machine LEarning
Possuir experiência com plataformas para processamento de Big Data (por exemplo, Hadoop, Spark, BigQuery, Dataflow), plataformas Cloud (especialmente GCP) e ferramentas Data Viz
Possuir experiência em métodos ágeis, técnicas de engenharia de software (por exemplo, testes unitários, refatoração, controle de versão), projeto de arquiteturas de soluções e desenvolvimento de produtos de software.

Gostou? Tem mais!
A CI&T oferece :Plano de carreira estruturado;
Vale alimentação e refeição;
Seguro de vida e auxílio creche;
Assistência médica e odontológica;
Gympass;
Descontos em estabelecimentos;
Ônibus fretado, estacionamento ou transporte intermunicipal, dependendo da base de atuação.

Além disso, você pode contar com um ambiente descontraído, e uma Academia de Great Coders com cursos online onde você poderá aprender ainda mais.

Prezamos pela diversidade, liberdade, flexibilidade e autonomia!",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=75fdfc987cfc8169&fccid=289d7ce11c250f70&vjs=3
jk=f21b7abbb35e1421,Machine Learning Engineer,Linx+Neemu+Chaordic,"Florianópolis, SC",há 30+ dias,"Hello there! We are a multidisciplinary team of Data Scientists and Engineers looking for our next office buddy. So if you think you got what it takes to come up with performant algorithms that will serve recommendations for some of the biggest e-commerces in Latin America: buckle up for the journey.

The types of problems you'll solve are both deep and diverse, for this you will need a strong background in data structures and algorithms since a big part of this job is processing terabytes of data. In scenarios like these, the choices you make can greatly impact performance. Not only that but you need to be a good architect as well, being able to elaborate real-time algorithms if needed, that run under strict latency conditions, for example.

In our team, we mostly use Python which, like most dynamic languages, is not very forgiving of bad abstractions. So your coding fluency needs to be a good fit. We also value knowledge of shell scripting, as well as past experience with frameworks like Dask, Spark (via PySpark), SciKit-Learn, and TensorFlow. Regarding infrastructure, we run on top of AWS. Past experiences using EC2/S3/others, as well as vendor-agnostic technologies like Kafka or Elasticsearch count for bonus points.

As a member of the Data Science Team, your domain-specific knowledge needs to be on point: A good grasp on statistics, a skeptic mindset, as well as understanding the sociometric insights of the datasets you work with is an absolute must. A deep understanding of linear algebra and mathematics in general will earn you high praise amongst your peers. Having some experience with the inner workings and techniques that empower other search/recommendation systems will earn you a ton of bonus points.

All in all, the highest evaluation criteria is your potential and showing that you can do good things for the team, so that we can build great things together. But since we kinda have to add bullet points to these things, here's a recap:
Good knowledge of Data Structures, Algorithms, and Systems Architecture;
Concrete understanding of Data Sciency fields of math (LinAlg, Calc, Stats, etc);
Fluency in Python, or the ability to become fluent in a relatively short time;
Having good experience with programming and knowing how to abstract properly is great to have;
Bonus points for having worked with Dask, Spark, SKLearn, TensorFlow, or the ELK stack;
Bonus points if you can link us to cool stuff you did on Kaggle/GitHub;
Super bonus points for having worked with recommendation systems or search engines before.
Did you like it? Come build great things with us =]",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=f21b7abbb35e1421&fccid=16443473c092a43d&vjs=3
jk=95fcc7775b7ce05c,Data Scientist CAMPINAS - SPTECNOLOGIA E PRODUTOCLT,iFood,"Campinas, SP",há 30+ dias,"Valorizamos a diversidade e estamos em busca de todos os ingredientes que se
complementam e fortalecem nossa cultura e valores
Um crescimento de três vezes ao ano, nos mercados competitivos atuais, só é possível se baseado em um modelo sólido de negócios focado em tecnologia, profissionais de excelência e uma empresa sempre pautada em dados.
Quanto mais se cresce, mais informações são geradas e uma equipe de Data & Analytics robusta, competente e alinhada com os valores da empresa se faz cada vez mais necessária para transformar todos esse volume de dados em conhecimento e vantagem competitiva para o negócio.
As possibilidades de usar nossos dados com inteligência são infinitas e temos a oportunidade de criar cases de nível mundial como Netflix, Spotify e Airbnb. Queremos gente motivada e capaz para fazer esse sonho acontecer.
O que você irá entregar
Irá elaborar estudos quantitativos endereçando questões gerenciais e estratégicas da empresa, que irão orientar o crescimento nos próximos anos;
Aplicará métodos computacionais, matemáticos e estatísticos que irão suportar os estudos;
Elaborará apresentações convincentes e influenciar gerentes e diretores sobre o conhecimento adquirido;
Irá analisar os milhões de dados gerados a cada segundo para melhorar a experiência dos nossos clientes e parceiros;
Construir modelos que vão aprimorar o conhecimento e predizer o comportamento dos nossos parceiros e clientes;
Criar dashboards que irão acompanhar o resultado da implementação das ações sugeridas;
O que você precisa ter
Formação Superior: Engenharias, Matemática, Estatística, Computação, preferência com Mestrado/Doutorado;
Experiência em análises quantitativas, Data Science, Business Intelligence e Data Mining;
Experiência com uso de técnicas e ferramentas analíticas como SQL, R, Python;
Bom senso de negócios, perfil consultor que sabe fazer as perguntas certas, quebrar o problema, definir hipóteses, decidir quais indicadores respondem essas hipóteses;
Habilidade de comunicação;
Curiosidade para investigar os problemas mais interessantes e complexos do mercado de delivery;
Conhecimento de aplicação de Machine Learning e algoritmos de análises;
Noção de Big Data
O que vamos te entregar
Contratação CLT com benefícios;
Participação nos Lucros - PLR;
Autonomia para definir processos e seu próprio ritmo;
Ambiente altamente desafiador e colaborativo;
Possibilidade de aprendizado e crescimento acelerado, numa empresa que cresce em ritmo alucinante, com oportunidade de implementar projetos que serão cases de sucesso no mundo digital
Onde Ficamos
Em Campinas, próximo a CPFL, na Rua Jasmim, Bairro Chácara Primavera.",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=95fcc7775b7ce05c&fccid=4f16e5192c1ffbb9&vjs=3
jk=4ff55c5f2d0d2eaf,Data Scientist,Teiko Soluções em TI,"Blumenau, SC",há 21 dias,"Desenvolvimento de scripts para automação de processos.

Coleta, preparação e mineração de dados.

Análise de dados estruturados e não-estruturados;

Desenvolvimento de dashboards e APPs.

Perfil

Superior completo ou cursando nas áreas de exatas;

Profissional com perfil de DevOps;

Boa comunicação;

Gosta de resolver problemas;

Busca constantemente por conhecimento e autodesenvolvimento;

Facilidade de aprender novas tecnologias;

Proativo, criativo, mindset de inovação.

Conhecimentos NecessÃ¡rios

Conhecimento em programação, estatística, banco de dados SQL e NoSQL, infraestrutura de TI e telecom.

Desejável conhecimento em Python, Java Script, AWS, Machine Learning e Splunk.",2018-04-24,Brasil,https://www.indeed.com.br/viewjob?jk=4ff55c5f2d0d2eaf&fccid=c94865c7d25c75b8&vjs=3
