id,positClean,companyClean,dateClean,skills,education,language,dateCollect,country,cityClean,stateClean,url
jk=ed01ec9383426753,Data Scientist Machine Learning Engineer,Nubank,2018-04-13, algorithm,,,2018-04-24,Brasil,São Paulo,SP,https://www.indeed.com.br/viewjob?jk=ed01ec9383426753&fccid=1319f0c8ca907f90&vjs=3
jk=7f8eb139ab411604,Data Scientist,BAIN   COMPANY,2018-03-27, s curve algorithm regression model vector clustering model python r sql cloud database feature mathematica econometrics mathematica sql nosql visualization r python sas spss dashboard tableau hadoop spark mathematica, master phd, english spanish,2018-04-24,Brasil,São Paulo,SP,https://www.indeed.com.br/viewjob?jk=7f8eb139ab411604&fccid=48270b2eee62c2c6&vjs=3
jk=4f3e17be38fbbbce,Data Scientist,TFG Co,2018-03-25, feature modelo volume matemática economia r python spark sql algoritmo,,,2018-04-24,Brasil,São Paulo,SP,https://www.indeed.com.br/viewjob?jk=4f3e17be38fbbbce&fccid=64ebc2224458c8be&vjs=3
jk=1ee57f60b2ec2969,Data Scientist,Loggi,2018-03-25, hue significar model algorithm aws server storage,,,2018-04-24,Brasil,São Paulo,SP,https://www.indeed.com.br/viewjob?jk=1ee57f60b2ec2969&fccid=beae102407e0c245&vjs=3
jk=8ca05ab9e2ac6b22,Senior Data Scientist Advanced Analytics,McKinsey   Company,2018-03-25, r python java sas spss matlab r stata excel significar model server value,,,2018-04-24,Brasil,São Paulo,SP,https://www.indeed.com.br/viewjob?jk=8ca05ab9e2ac6b22&fccid=6576e7250aa78c3c&vjs=3
jk=2fe1649643e41128,Data Scientist,Nubank,2018-04-13, algorithm,,,2018-04-24,Brasil,São Paulo,SP,https://www.indeed.com.br/viewjob?jk=2fe1649643e41128&fccid=1319f0c8ca907f90&vjs=3
jk=75fdfc987cfc8169,Data Scientist Machine Learning,Ci T,2018-04-14, matemática python r matlab sql feature algoritmo algoritmo volume feature modelo modelo nuvem hadoop spark cloud value hbase, bacharelado,,2018-04-24,Brasil,Campinas,SP,https://www.indeed.com.br/viewjob?jk=75fdfc987cfc8169&fccid=289d7ce11c250f70&vjs=3
jk=f21b7abbb35e1421,Machine Learning Engineer,Linx Neemu Chaordic,2018-03-25, algorithm server algorithm algorithm latency python value shell scripting spark aws kafka elasticsearch data set mathematica algorithm python spark,,,2018-04-24,Brasil,Florianópolis,SC,https://www.indeed.com.br/viewjob?jk=f21b7abbb35e1421&fccid=16443473c092a43d&vjs=3
jk=95fcc7775b7ce05c,Data Scientist CAMPINAS SPTECNOLOGIA E PRODUTOCLT,iFood,2018-03-25, valor modelo valor volume modelo dashboard matemática sql r python algoritmo,,,2018-04-24,Brasil,Campinas,SP,https://www.indeed.com.br/viewjob?jk=95fcc7775b7ce05c&fccid=4f16e5192c1ffbb9&vjs=3
jk=4ff55c5f2d0d2eaf,Data Scientist,Teiko Soluções em TI,2018-04-03, dashboard sql nosql python java aws,,,2018-04-24,Brasil,Blumenau,SC,https://www.indeed.com.br/viewjob?jk=4ff55c5f2d0d2eaf&fccid=c94865c7d25c75b8&vjs=3
