id,positClean,companyClean,dateClean,dateCollect,descClean,skills,education,language,cityClean,stateClean,country,url,site
jk=ed01ec9383426753,Data Scientist Machine Learning Engineer,Nubank,2018-04-13,2018-04-24,hire data scientists nubank   technology company   set   completely rethink financial services  brazil  need worldclass data scientists  modelers statisticians ai practitioners machine learning engineers  build proprietary algorithms  predict responsiveness  marketing credit risk fraud likelihood  many  types  customer behavior  get us  meet  nubankers luam totti, algorithm,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=ed01ec9383426753&fccid=1319f0c8ca907f90&vjs=3,indeed
jk=7f8eb139ab411604,Data Scientist,BAIN   COMPANY,2018-03-27,2018-04-24,overview company overview bain company  one   worlds best companies  work  voted   glassdoor  since  radical beginnings   challenger   status quo  formula  success   simple create  highimpact supportive culture  immensely talented people  encouraged   brilliant      pride   hiring  best   best  look  people  want   great things  learning curve  steep   exposure  energizing  global offices share  diverse informal environment   ll feel  home regardless   city  re    ll work alongside    top people   field  return  offer  competitive salary bonus  benefits including laptop phone health insurance lunch travel contribution  well  noncorporate dress code  state   art offices  addition  professional development will  taken seriously  day one  will experience     comprehensive training   industry position summary  advanced analytics group   team  experts  data science engineering marketing science operations research  primary research  will work alongside bain s consulting teams  provide high quality results   clients     successful  pioneering businesses   world  will also work  advance aag s  bain s analytic capabilities  provide training   consulting staff  needed responsibilities provide data science services  bain case teams  clients worldwide  will work  case teams  assess client demands  suggest data science methods  provide practical valueadded answers   client  case teams develop solutions  bring critical insights  wide scale  different problems   targeting customers  segmenting markets product design marketing optimization demand forecasting  brand valuation profit  price analyses  fraud detection develop prototype  test machine learning algorithms  data sets  can range    data points  billions apply machine learning  statistical techniques including regression models decision trees random forests gradient boosting support vector machines clustering  topic models prepare various sources  data using data wrangling methods  python r  sql leveraging infrastructure including cloud computing solutions  relational database enviroments keep abreast  new  current statistical methodologies machine learning  data wrangling techniques  appropriate train  team members  support  use  data analytics tools   expand  use  machine learning within bain combine domain expertise  perform feature engineering qualifications years  experience  data science  statistical analysis   business marketing science  social science environment  masters degree  phd  computer science artificial intelligence applied mathematics econometrics statistics physics  related field  desired strong background  statistics  mathematics proficiency  sql  required  familiarity  nosql data stores   plus proficiency  data wrangling visualization  modeling  either r  python  required familiarity   analytical software   sas  spss   plus experience  explaining  performing  variety  data science  machine learning techniques examples  domain expertise     interested  predictive modeling churn analysis time series forecasting computer vision text mining recommender systems market basket analysis segmentation graph analytics natural language processing  text analytics experience  dashboard  reporting tools   tableau  qlik experience  deep learning tools   keras tensorflow  theano   plus experience  distributed computing frameworks   hadoop  spark   plus experience  git  modern software development workflow   plus strong interpersonal  communication skills   must ability  explain  discuss mathematical  machine learning technicalities   business audience must thrive   fast paced environment   able  work independently travel required fluent  english  portuguese  spanish ind, s curve algorithm regression model vector clustering model python r sql cloud database feature mathematica econometrics mathematica sql nosql visualization r python sas spss dashboard tableau hadoop spark mathematica, master phd, english spanish,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=7f8eb139ab411604&fccid=48270b2eee62c2c6&vjs=3,indeed
jk=4f3e17be38fbbbce,Data Scientist,TFG Co,2018-03-25,2018-04-24,é  tfg  tfg é  maior empresa  jogos mobile  américa latina    maiores  mundo  longo  seis anos    títulos lançados  empresa alcançaram   milhões  downloads  países   equipe  começou  apenas dois irmãos  hoje reúne cerca  pessoas   paulo  missão  tfg é ser  melhor empresa  jogos  mundo   procuramos reunir times excepcionais  engenharia  software arte  animação produto distribuição  ciência  dados  é  trabalho  missão  data scientists  tfg é usar  dados  disposição  empresa  tornar   jogos  divertidos   rentáveis  data scientists  produto dão suporte empírico  analítico  decisões  importantes relacionadas  jogos recomendando  implementação  features calibrando  mecanismos  progresso  jogadores analisando  estratégias  engajamento  monetização modelando  padrões  consumo  itens virtuais etc experimentos modelos estatísticos  visualizações informativas fazem parte   atividades cotidianas   trabalhar   gente  vai trabalhar  pessoas excepcionais   time pequeno   grau enorme  autonomia  controle sobre  próprio trabalho  empresa é  prato cheio   data scientist  grande volume  diversidade  dados problemas abertos  desafiadores acesso  tecnologias  avançadas  mercado   cultura  valoriza decisões fundamentadas  análises  ambiente  trabalho é acolhedor  livre  politicagem  pessoas  tfg  concentram  fazer  bom trabalho   promoção pessoal  remuneração é acima  média  mercado   mimos  muitos requisitos habilidade matemática curiosidade intelectual comunicação clara interesse  mercado  tecnologia graduação  pósgraduação   curso quantitativo engenharia estatística ciência  computação economia etc plus familiaridade  modelagem estatística especialmente inferência bayesiana experiência  r python spark stan sql  algoritmos  classificação  regressão, feature modelo volume matemática economia r python spark sql algoritmo,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=4f3e17be38fbbbce&fccid=64ebc2224458c8be&vjs=3,indeed
jk=1ee57f60b2ec2969,Data Scientist,Loggi,2018-03-25,2018-04-24,loggi  wellfunded brazilian startup  looking   developer  machine learning experience loggi   urban logistics company cracking sameday delivery  bringing instant delivery within anyones reach offering stateoftheart dispatching routing pricing realtime tracking  billing founded   paulo brazil loggi uses  massive network  motor couriers  form  logistics network   fast  reliable  webmobile platform  api offer unmatched convenience reliability reach  timely delivery   user friendly interface real customer support  fully legalized couriers   better price vs alternatives  real time logistics isnt easy  need  balance supply vs demand regionally reducing allocation  pickup time  will help us improve  fleet efficiency  digging   huge mountain  historical  realtime generated data  help  motor couriers better positioning  will also help us reduce failed delivery attempts  using  knowledge   city  improvement   results play  significant role   success  make  day delivery  accessible   broader audience  loggi  will  working   engineers  architect deploy develop  tune  ml stack  believe different people think differently  leads us  diverse solutions  new ways  making  happen   committed  diversity  multiple ways race gender sexual orientation gender identity age religion  disability join  transformation    good grasp   various statistical models machine learning  discrete optimization concepts  exceptional analytical  quantitative problemsolving skills  real world experience designing  implementing algorithms  tackle  hard problem   team player    rock stars   however foster  culture  collaboration  sharing   ability  communicate complex concepts effectively  verbally   writing  provide fun laidback environment   fast paced startup feedback  brainstorming directly   founders  bureaucracy  bull competitive compensation based   experience   abroad full assistance   immigrationmoving process choice  tools  will gift    technical updating conference   choosing  completing one year   logger  current stack mixed fleet  aws   dedicated server hosting providers docker  distributing services postgresql  relational storage influxdb  redshift  metrics   bunch   stuff lets  spoil  surprise next steps apply   post well get back       hours ps applicants  anywhere   welcome however    onsite position  happy  help  immigration issues   right candidate, hue significar model algorithm aws server storage,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=1ee57f60b2ec2969&fccid=beae102407e0c245&vjs=3,indeed
jk=8ca05ab9e2ac6b22,Senior Data Scientist Advanced Analytics,McKinsey   Company,2018-03-25,2018-04-24,qualifications ms  computer science engineering applied math quantitative social sciences  related field years  deep technical experience  distributed computing machine learning  statistics related work programming experience  r python cc andor java proficiency  statistical data analysis  data mining packages sas spss matlab r stata excel etc proven comfort   intellectual curiosity  working   large sets  data strong entrepreneurship required selfstarter highenergy individual  ability  tailor  execute   plan  reach objective high end consultative client development skills  professional services  business impact  developing new ways  serving clients excellent leadership skills  enjoys teachingmentoring others strong communication skills especially around breaking  complex structures  digestible  relevant points   diverse set  clients  colleagues   levels critical thinking  creative problem solving skills ability  influence  work  teams resourceful tenacious independent thought leader  strong desire  learn  develop within  dynamic selfled organization  youll work   ll work   analytics group   paulo brazil   member  mckinsey analytics  will  responsible  blending strategic thinking   latest tools  technologies advising  developing  defining strategies  solutions  help  clients around latin america  solve   critical problems  applying advanced analytics  address challenges across different areas  help  clients gain significant sustained improvements  performance  work  clients  identify   focus convert data  models  actionable insights  develop institutional skills  structures  sustain impact  use advanced analytics    improve  design  physical systems  also  address management infrastructures  employees attitudes  behaviors   clients  able  lead change independently  youll  youll focus  three broad areas  responsibility including analytics client service support  development  knowledge transfer  practice development youll create valuable transformative business strategies   measurement manipulation reporting  dissemination  broad sets  data youll also apply  advise  stateoftheart advanced analytic  quantitative tools  modeling techniques  order  derive business insights solve complex business problems  improve decisions youll review support  advise   daytoday analytics requirements  clients key operational processes  continually improving  impact   processes  youll continually explore innovative analytical techniques processes tools etc  better serve clients     thought leader   industry   core member   consulting team youll conduct deep analytics   broad set  client  external data  youll   lead role  team problem solving  findings  insights  analysis youll create value  clients  understanding  needs  translating   optimal desired analytical services  youll   leader  overseeing analytics process  data integration  clients  mckinsey furthermore youll lead  support  development  knowledge   firms analytic group youll create  roadmap   greater understanding  analytics   impact   consulting population  youll partner  data engineers  ensure timely  effective methods   extraction assembly  transfer  broad complex sets  data, r python java sas spss matlab r stata excel significar model server value,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=8ca05ab9e2ac6b22&fccid=6576e7250aa78c3c&vjs=3,indeed
jk=2fe1649643e41128,Data Scientist,Nubank,2018-04-13,2018-04-24,hire data scientists nubank   technology company   set   completely rethink financial services  brazil  need worldclass data scientists  modelers statisticians ai practitioners machine learning engineers  build proprietary algorithms  predict responsiveness  marketing credit risk fraud likelihood  many  types  customer behavior  get us  meet  nubankers luam totti, algorithm,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=2fe1649643e41128&fccid=1319f0c8ca907f90&vjs=3,indeed
jk=75fdfc987cfc8169,Data Scientist Machine Learning,Ci T,2018-04-14,2018-04-24,procuramos alguém queseja  cientista  dados apaixonado buscando resolver grandes desafios usando machine learning  dirigido  resultados    forte senso  propriedade  solução entregando abordagens criativas  inovadoras   clientes  bom  números  programação goste  investigar dados  automatizar processos  soluções cognitivas pense criticamente   detalhista focando   realmente importa saiba trabalhar  forma colaborativa  autônoma  independente proporcionando visibilidade   progresso  meio  pequenas entregas   contador  histórias  comunique  forma efetiva novas descobertas usando  visualização  dados  públicos técnicos  executivos  habilidades avançadas  comunicação oral  escrita  inglês  bacharel  ciência  computação engenharia matemática aplicada estatística física  outras áreas quantitativas relacionadas  proficiente  linguagens  python r matlab bash  sql fazendo uso  melhores frameworks  pipelines  machine learning  visualização  dados  experiência  técnicas  feature engineering  algoritmos populares  machine learning  capacidade  compreender  implementar algoritmos  machine learning baseados   recentes trabalhos  pesquisa  capacidade  explorar grandes volumes  dados   problema específico definido  fim  apresentar  perguntas certas  fornecer insights interessantes  conhecimento  negócios  postura consultiva  identificar  analisar problemas definir  testar hipóteses   responsável poratacar problemas  negócio nãotriviais   clientes fortune companies aplicando método científico  testar hipóteses  negócios usando dados  entrada estruturados   estruturados  exemplo documentos registros imagens vídeos fazer  análise exploratória  dados criação  data products feature engineers treinamento  avaliação  modelos implementação  pipelines  machine learning avaliação  implantação  modelos  ambientes  nuvem  produção  vai  destacar sepossuir mestrado  doutorado  machine learning data mining statistics possuir experiência  métodos estatísticos probabilidade teorema  bayes correlações teste  hipóteses amostragem causalidade possuir experiência  deep learning  computer vision  nlp possuir experiência  deep learning possuir experiência  problemas  frameworks  otimização combinatória  artigos  pesquisa publicados envolvendo técnicas  machine learning possuir experiência  plataformas  processamento  big data  exemplo hadoop spark bigquery dataflow plataformas cloud especialmente gcp  ferramentas data viz possuir experiência  métodos ágeis técnicas  engenharia  software  exemplo testes unitários refatoração controle  versão projeto  arquiteturas  soluções  desenvolvimento  produtos  software gostou    cit oferece plano  carreira estruturado vale alimentação  refeição seguro  vida  auxílio creche assistência médica  odontológica gympass descontos  estabelecimentos ônibus fretado estacionamento  transporte intermunicipal dependendo  base  atuação além disso  pode contar   ambiente descontraído   academia  great coders  cursos online onde  poderá aprender ainda  prezamos  diversidade liberdade flexibilidade  autonomia, matemática python r matlab sql feature algoritmo algoritmo volume feature modelo modelo nuvem hadoop spark cloud value hbase, bacharelado,,Campinas,SP,Brasil,https://www.indeed.com.br/viewjob?jk=75fdfc987cfc8169&fccid=289d7ce11c250f70&vjs=3,indeed
jk=f21b7abbb35e1421,Machine Learning Engineer,Linx Neemu Chaordic,2018-03-25,2018-04-24,hello     multidisciplinary team  data scientists  engineers looking   next office buddy    think  got   takes  come   performant algorithms  will serve recommendations     biggest ecommerces  latin america buckle    journey  types  problems youll solve   deep  diverse    will need  strong background  data structures  algorithms since  big part   job  processing terabytes  data  scenarios like   choices  make can greatly impact performance      need    good architect  well  able  elaborate realtime algorithms  needed  run  strict latency conditions  example   team  mostly use python  like  dynamic languages    forgiving  bad abstractions   coding fluency needs    good fit  also value knowledge  shell scripting  well  past experience  frameworks like dask spark via pyspark scikitlearn  tensorflow regarding infrastructure  run  top  aws past experiences using ecsothers  well  vendoragnostic technologies like kafka  elasticsearch count  bonus points   member   data science team  domainspecific knowledge needs    point  good grasp  statistics  skeptic mindset  well  understanding  sociometric insights   datasets  work    absolute must  deep understanding  linear algebra  mathematics  general will earn  high praise amongst  peers   experience   inner workings  techniques  empower  searchrecommendation systems will earn   ton  bonus points     highest evaluation criteria   potential  showing   can  good things   team    can build great things together  since  kinda   add bullet points   things heres  recap good knowledge  data structures algorithms  systems architecture concrete understanding  data sciency fields  math linalg calc stats etc fluency  python   ability  become fluent   relatively short time  good experience  programming  knowing   abstract properly  great   bonus points   worked  dask spark sklearn tensorflow   elk stack bonus points   can link us  cool stuff    kagglegithub super bonus points   worked  recommendation systems  search engines    like  come build great things  us, algorithm server algorithm algorithm latency python value shell scripting spark aws kafka elasticsearch data set mathematica algorithm python spark,,,Florianópolis,SC,Brasil,https://www.indeed.com.br/viewjob?jk=f21b7abbb35e1421&fccid=16443473c092a43d&vjs=3,indeed
jk=95fcc7775b7ce05c,Data Scientist CAMPINAS SPTECNOLOGIA E PRODUTOCLT,iFood,2018-03-25,2018-04-24,valorizamos  diversidade    busca  todos  ingredientes   complementam  fortalecem  cultura  valores  crescimento  três vezes  ano  mercados competitivos atuais  é possível  baseado   modelo sólido  negócios focado  tecnologia profissionais  excelência   empresa sempre pautada  dados quanto   cresce  informações  geradas   equipe  data analytics robusta competente  alinhada   valores  empresa  faz cada vez  necessária  transformar todos  volume  dados  conhecimento  vantagem competitiva   negócio  possibilidades  usar  dados  inteligência  infinitas    oportunidade  criar cases  nível mundial  netflix spotify  airbnb queremos gente motivada  capaz  fazer  sonho acontecer    irá entregar irá elaborar estudos quantitativos endereçando questões gerenciais  estratégicas  empresa  irão orientar  crescimento  próximos anos aplicará métodos computacionais matemáticos  estatísticos  irão suportar  estudos elaborará apresentações convincentes  influenciar gerentes  diretores sobre  conhecimento adquirido irá analisar  milhões  dados gerados  cada segundo  melhorar  experiência   clientes  parceiros construir modelos  vão aprimorar  conhecimento  predizer  comportamento   parceiros  clientes criar dashboards  irão acompanhar  resultado  implementação  ações sugeridas    precisa ter formação superior engenharias matemática estatística computação preferência  mestradodoutorado experiência  análises quantitativas data science business intelligence  data mining experiência  uso  técnicas  ferramentas analíticas  sql r python bom senso  negócios perfil consultor  sabe fazer  perguntas certas quebrar  problema definir hipóteses decidir quais indicadores respondem  hipóteses habilidade  comunicação curiosidade  investigar  problemas  interessantes  complexos  mercado  delivery conhecimento  aplicação  machine learning  algoritmos  análises noção  big data   vamos  entregar contratação clt  benefícios participação  lucros plr autonomia  definir processos   próprio ritmo ambiente altamente desafiador  colaborativo possibilidade  aprendizado  crescimento acelerado  empresa  cresce  ritmo alucinante  oportunidade  implementar projetos   cases  sucesso  mundo digital onde ficamos  campinas próximo  cpfl  rua jasmim bairro chácara primavera, valor modelo valor volume modelo dashboard matemática sql r python algoritmo,,,Campinas,SP,Brasil,https://www.indeed.com.br/viewjob?jk=95fcc7775b7ce05c&fccid=4f16e5192c1ffbb9&vjs=3,indeed
jk=4ff55c5f2d0d2eaf,Data Scientist,Teiko Soluções em TI,2018-04-03,2018-04-24,desenvolvimento  scripts  automação  processos coleta preparação  mineração  dados análise  dados estruturados  nãoestruturados desenvolvimento  dashboards  apps perfil superior completo  cursando  áreas  exatas profissional  perfil  devops boa comunicação gosta  resolver problemas busca constantemente  conhecimento  autodesenvolvimento facilidade  aprender novas tecnologias proativo criativo mindset  inovação conhecimentos necessãrios conhecimento  programação estatística banco  dados sql  nosql infraestrutura  ti  telecom desejável conhecimento  python java script aws machine learning  splunk, dashboard sql nosql python java aws,,,Blumenau,SC,Brasil,https://www.indeed.com.br/viewjob?jk=4ff55c5f2d0d2eaf&fccid=c94865c7d25c75b8&vjs=3,indeed
