id,positJob,company,city_state,date,descrip,dateColect,country,url
#3271791,Vaga de Data Scientist ,Wooza , Rio de Janeiro - RJ,2018-02-07,"
Data Scientist
Ser especialista em análise de dados, com habilidades técnicas para resolver problemas complexos e curiosidade para explorar quais problemas necessitam de solução. O
* Criar modelo preditivo de vendas;
* Criar ferramentas antifraude;
* Gerar análise e indicadores;
* Desenvolver modelos estatísticos voltados para a área de Marketing.
É desejável ter experiência com R e/ou Python, Machine Learning [Métodos Baseados em Árvores, SVM, unsupervised learning] e banco de dados em larga escala [Amazon Aurora database, Hadoop, NoSQL].
Estamos formando um time de cientistas de dados, alunos cursando ou finalizando mestrado e doutorado, são muito bem-vindos no nosso time.
Local de trabalho: Barra da Tijuca
Horário: 09h00 às 18h00.
Oferecemos remuneração compatível com o mercado, política de benefícios atrativa e oportunidades de crescimento.
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-data-scientist-wooza-rio-de-janeiro-rj-3271791
#3267188,Vaga de Analista de Produção Jr , Reference Data ,Nielsen ,2018-02-06,"
Analista de Produção Jr em Reference Data
Principais desafios da posição:
A área de Reference Data na Nielsen é responsável por receber novos itens mensalmente, codificando e caracterizando-os para serem incluídos adequadamente nas bases de dados. As atividades incluem:
* Investigar na internet para cadastro de novos itens;
* Revisar os bancos de dados e arquivos internos, buscando possíveis irregularidades e apurando, corrigindo ou encaminhando-as para outras soluções, garantindo assim a Consistência do banco de cadastros;
* Validar e liberar as bases de dados para clientes internos e externos.O que buscamos?
Buscamos profissionais com muita vontade de aprender, interessados em melhoria, comprometidos e alinhados aos nosso valores: Abertos, Conectados, Úteis e Pessoais. Também é necessário:
* ensino médio completo; ensino superior completo ou cursando será considerado diferencial;
* conhecimento intermediário em fórmulas e macros em Excel e/ou Google Sheets;
* inglês intermediário;
* habilidade para trabalhar bem em equipe;
* organização e orientação a qualidade.O que oferecemos? Bolsa-Auxílio/Remuneração compatível ao mercado e Benefícios. Além disso, oferecemos aos nossos associados, diversos programas e ferramentas de treinamento e desenvolvimento, convênios com universidades e escola de idiomas e ações de bem-estar e praticidade.Onde fica a Nielsen? Estamos localizados no KM 22,5 da Rodovia Raposo
Tavares, com fácil acesso às principais vias de São Paulo e aproximadamente 20 minutos da Linha Amarela do Metrô Butantã, com diversas linhas de ônibus para os mais diferentes destinos.O que temos por perto? Estamos em frente ao Shopping The Square Open Mall, próximo ao Shopping Granja Vianna, bancos, restaurantes, supermercados, padarias e serviços em geral.Faça parte da Experiência Nielsen: seja você, faça a diferença e cresça conosco!
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-analista-de-producao-jr-em-reference-data-nielsen-cotia-sp-3267188
#3263921,Vaga de Analista de Data Center Pl ,CPFL Energia , Campinas - SP,2018-02-05,"
Analista de Data Center Pl - Campinas/SP
PRÉ-REQUISITOS:
* Graduação em Tecnologia da Informação, Ciências da Computação, Engenharia da Computação ou afins;
* Desejável Inglês Avançado;
* Conhecimento de Rede de comunicação de dados;
* Conhecimento em segurança da informação.
ATIVIDADES:
* Administrar estoque de equipamentos de informática;
* Auxiliar no processo de manutenção física do DataCenter;
* Gerir o processo de Compras / Recebimento / Desativação / Alienação de equipamentos/softwares;
* Administrar o crescimento vegetativo e capacidade de todo o ambiente computacional;
* Organizar e realizar reuniões técnicas e administrar o processo de transição de ambientes para produção;
* Analisar e acompanhar os SLAs e Pesquisa de Satisfação de chamados;
* Administrar contratos de suporte e garantia dos equipamentos;
* Analisar o acompanhar os SLAs dos contratos de Outsourcing.
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-analista-de-data-center-pl-campinas-sp-cpfl-energia-campinas-sp-3263921
#3265326,Vaga de Analista de Data Center Sr ,CPFL Energia , Campinas - SP,2018-02-05,"
Analista de Data Center Sr - Campinas/SP
PRÉ-REQUISITOS:
* Graduação em Tecnologia da Informação, Ciências da Computação, Engenharia da Computação ou afins;
* Desejável Inglês Avançado;
* Conhecimento em SAP Basis;
* Conhecimento em Banco de dados (Oracle e MSSQL).
ATIVIDADES:
* Propor melhorias e acompanhar o processo de manutenção física do DataCenter;
* Gerir o processo de Compras / Recebimento / Desativação / Alienação de equipamentos/softwares;
* Administrar o crescimento vegetativo e capacidade de todo o ambiente computacional;
* Realizar reuniões técnicas, analisar e administrar o processo de transição de ambientes para produção;
* Analisar e propor melhorias no processo de acompanhamento de SLAs e Pesquisa de Satisfação de chamados;
* Administrar os contratos de suporte e garantia dos equipamentos e propor substituições para atualização tecnológica;
* Analisar, acompanhar e propor melhorias na entrega dos SLAs dos contratos de Outsourcing.
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-analista-de-data-center-sr-campinas-sp-cpfl-energia-campinas-sp-3265326
#3263985,Vaga de Analista de Marketing (Databases) ,Proxy Media , São Paulo - SP,2018-02-05,"
Analista de Marketing (Databases)
DESCRIÇÃO
Preparação de HTML para disparo de e-mail marketing;
Seleção e segmentação de base de dados de acordo com o perfil de cada campanha;
Atendimento e controle de resultados de campanhas baseadas em CPD (disparo), CPL (leads) , CPC (Clique) e CPA (aquisição);
Produção de briefing para equipe criação;
Controle e definição de cronograma;
Acompanhar e controlar as taxas de aberturas e cliques dos disparos;
Acompanhamento da qualidade das peças recebidas para disparo;
Acompanhar o desempenho e entregabilidade dos servidores;
Desenvolvimento de relatórios analíticos de desempenho de clientes;
Atendimento ao cliente final e a rede de afiliados;
Acompanhamento de produção de landing page;
Acompanhamento de performance de anuncios em midias digitais.
REQUISITOS
Conhecimento em ferramentas de disparo de e-mail marketing
Residir no mesmo estado do trampo
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-analista-de-marketing-databases-proxy-media-sao-paulo-sp-3263985
#3286844,Vaga de Assistente Financeiro ,Solvay Group (Rhodia) , Curitiba - PR,2018-02-08,"
Assistente Financeiro - Data & Analisys
**Missão do Cargo:
Assegurar a qualidade e a acuracidade das informações gerenciais fornecidas aos clientes na área do Purchase to Pay (PtP).
**Principais Atribuições:
* Criação e atualização de cadastro de fornecedores, materiais, contratos e catálogos eletrônicos;
* Elaboração, análise e consolidação de relatórios.
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-assistente-financeiro-data-analisys-solvay-group-rhodia-curitiba-pr-3286844
#2973437,Vaga de Data Scientist ,iFood , Campinas - SP,2018-01-12,"
Data Scientist
Campinas - SP
Somos inspirados pelas relações criadas ao redor da mesa. Nós levamos comida para alimentar momentos importantes na vida das pessoas. Por mês, a iFood entrega 2,1 milhões de pedidos feitos em nossas soluções de delivery. Isso significa refeições saborosas chegando nas mãos de milhares de pessoas: brasileiros, argentinos, colombianos e mexicanos. Fazemos mais de 100 mil pessoas felizes por dia. Nem no maior restaurante do mundo daria para atender, saciar e ainda garantir a satisfação de tantos clientes. Isso só é possível na iFood porque tratamos cada novo pedido como único e somos exigentes em todo o processo: entrega após entrega. Todos os dias pensamos, executamos e testamos novas maneiras de levar a melhor experiência, desde o pedido até a chegada do prato, aonde quer que nossos consumidores estejam. Já alavancamos o negócio de 10 mil restaurantes. Nós trabalhamos como parceiros próximos, investindo pesado em estratégias para aumentar as vendas e melhorar a operação de delivery de cada restaurante. Olhamos juntos e com inteligência para o mercado, sugerindo oportunidades de crescimento.
Valorizamos a diversidade e estamos em busca de todos os ingredientes que se
complementam e fortalecem nossa cultura e valores
Um crescimento de três vezes ao ano, nos mercados competitivos atuais, só é possível se baseado em um modelo sólido de negócios focado em tecnologia, profissionais de excelência e uma empresa sempre pautada em dados.
Quanto mais se cresce, mais informações são geradas e uma equipe de Data & Analytics robusta, competente e alinhada com os valores da empresa se faz cada vez mais necessária para transformar todos esse volume de dados em conhecimento e vantagem competitiva para o negócio.
As possibilidades de usar nossos dados com inteligência são infinitas e temos a oportunidade de criar cases de nível mundial como Netflix, Spotify e Airbnb. Queremos gente motivada e capaz para fazer esse sonho acontecer.
O que você irá entregar
Irá elaborar estudos quantitativos endereçando questões gerenciais e estratégicas da empresa, que irão orientar o crescimento nos próximos anos;
 Aplicará métodos computacionais, matemáticos e estatísticos que irão suportar os estudos;
 Elaborará apresentações convincentes e influenciar gerentes e diretores sobre o conhecimento adquirido;
 Irá analisar os milhões de dados gerados a cada segundo para melhorar a experiência dos nossos clientes e parceiros;
 Construir modelos que vão aprimorar o conhecimento e predizer o comportamento dos nossos parceiros e clientes;
 Criar dashboards que irão acompanhar o resultado da implementação das ações sugeridas;
O que você precisa ter
Formação Superior: Engenharias, Matemática, Estatística, Computação, preferência com Mestrado/Doutorado;
Experiência em análises quantitativas, Data Science, Business Intelligence e Data Mining;
Experiência com uso de técnicas e ferramentas analíticas como SQL, R, Python;
Bom senso de negócios, perfil consultor que sabe fazer as perguntas certas, quebrar o problema, definir hipóteses, decidir quais indicadores respondem essas hipóteses;
Habilidade de comunicação;
Curiosidade para investigar os problemas mais interessantes e complexos do mercado de delivery;
Conhecimento de aplicação de Machine Learning e algoritmos de análises;
Noção de Big Data
O que vamos te entregar
Contratação CLT com benefícios;
Participação nos Lucros - PLR;
Autonomia para definir processos e seu próprio ritmo;
Ambiente altamente desafiador e colaborativo;
Possibilidade de aprendizado e crescimento acelerado, numa empresa que cresce em ritmo alucinante, com oportunidade de implementar projetos que serão cases de sucesso no mundo digital
Onde Ficamos
Em Campinas, próximo a CPFL, na Rua Jasmim, Bairro Chácara Primavera.
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-data-scientist-ifood-campinas-sp-2973437
#3237656,Vaga de Service Desk Analyst ,Dimension Data , Curitiba - PR,2018-01-31,"
Service Desk Analyst - Bilingual
Atuar no atendimento Bilíngue ao cliente, gestão de incidentes e requisições, gestão de processos 
* análise, abertura, acompanhamento e encerramento de chamados. Operar com a ferramenta de gerência de chamados Service Now tendo as ações fundamentadas no ITIL Foundation; Diagnóstico de perda de conexão em clientes através da monitoração de ativos de rede.PRÉ-REQUISITO
Inglês (Leitura, Escrita e Conversação)
* AvançadoConhecimento desejado:
* Domínio das ferramentas do pacote Office;
* Conhecimento em ITIL Foundation;
* Conhecimento ferramenta de ITSM;
* Desejável conhecimento em equipamentos Cisco;Experiência desejada:
* Atendimento em Service Desk Bilíngue;
* Serviços de suporte em TI;
* Habilidade no relacionamento interpessoal;
Local: Curitiba 
* Bairro Rebouças
Horário de trabalho: Escala de Trabalho 5x2
Salário: R$2.200,00 + PLR
Benefícios: Plano de Saúde, Odontológico, seguro de vida, VT, VR, Gympass e Universidade coorporativa.
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-service-desk-analyst-bilingual-dimension-data-curitiba-pr-3237656
#2967993,Vaga de Senior Big Data Analyst ,iFood , Campinas - SP,2018-01-05,"
Senior Big Data Analyst
Esta será uma oportunidade fantástica em sua vida, se:
* Você estiver faminto por desafios e quiser fazer fazer parte de um time com potencial para criar cases mundiais de utilização de Big Data, como Netflix, Spotify e Airbnb;
* Deseja aprender novas tecnologias constantemente, sem medo de pisar fora da zona de conforto;
* Valorizar a simplicidade e a clareza no desenvolvimento do seu trabalho;
* Quiser trabalhar numa empresa que cresce em ritmo acelerado, reconhece quem veste a camisa, se sente dono do negócio e é motivado por resultados;
* Se sentir positivamente desafiado por um ambiente de “barra alta”;
O que você precisa saber:
* Perfil analítico e raciocínio lógico;
* Visão de negócios: capacidade de entender as dinâmicas de nosso mercado (posicionamento estratégico, competidores, proposta de valor para clientes e parceiros, etc.) e como canalizá-las para atingir nossos objetivos;
* Competências de comunicação e persuasão;
* Visualização de dados. (Ferramenta que utilizamos: Tableau);
* Manipulação de dados. (Ferramentas que utilizamos: Linguagem SQL, DataBricks).
O que nós vamos te entregar
* Trabalhar com um produto que afeta a vida de milhões de usuários, contribui com empreendedores da América Latina, movimenta a economia e gera milhares de empregos;
* Empresa que cresce 300% ao ano com cultura de Startup;
* Contratação CLT com benefícios;
* Participação nos Lucros - PLR;
* Autonomia para definir processo de trabalho e seu próprio ritmo;
Onde Ficamos
* Escritórios em Campinas (próximo a CPFL, na Rua Jasmim, Bairro Chácara Primavera) e São Paulo (próximo ao parque Villa Lobos).
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-senior-big-data-analyst-ifood-campinas-sp-2967993
#2971008,Vaga de Data Scientist ,IBM , Rio de Janeiro - RJ,2018-01-09,"
Data Scientist
Possesses knowledge of Advanced Analytics solutions and services in the area of optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics.
Responsibilities include defining the key business problems to be solved, formulating mathematical approaches to solve those problems, gathering of data to solve those problems, and developing analyzing/drawing conclusions & giving the presentations.
Skills include mathematical optimization, discrete-event simulation, rules programming and predictive analytics.
Important to know: CPLEX Nice to have: Gurobi, ODM, Anylogic, Arena, SPSS, SAS, R, and Python .
**Todas as nossas vagas são elegíveis para pessoas com deficiência ou reabilitadas
",2018-02-09,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-data-scientist-ibm-rio-de-janeiro-rj-2971008
