id,positJob,company,city_state,date,descrip,dateCollect,country,url
#3822507,Vaga de ASSISTANT SCIENTIST ,Johnson &amp; Johnson , São José dos Campos - SP,2018-04-21,"
ASSISTANT SCIENTIST - CIENTISTA JUNIOR
Descrição
General Description
Execute R&D activities for the implementation of projects related to products,
materials and technologies for Engineered Products for existing business and
support troubleshooting related to manufacturing/production areas.
Responsabilities
Support the implementation of the new specifications for SMP projects and
guarantee adherence;
Support, plan and execute production trials for SMP projects;
Sense of urgency is needed to proactively respond to problems and
opportunities;
Proactively investigates and develops improvements to existing processes or
develops new and improved processes;
Participate in cross-functional project teams;
Provide critical business information to organizational leaders;
Ability to manage complexity and to work collaboratively with business
partners;
Execute laboratory analysis, compile and analyze data, identify causes, draw
conclusions and generate reports;
Qualificações
A minimum of Bachelor degree in Material Engineering, Chemical Engineering,
Biochemistry Engineering, Chemistry, or related areas is required;
Experience in Product Development of Consumer Products is a differential;
Knowledge in the field of adhesive, nonwovens or fibers is desirable;
Advanced English is required;
Good communication skills within different areas & team work.
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-assistant-scientist-cientista-junior-johnson-johnson-sao-jose-dos-campos-sp-3822507
#3794616,Vaga de SCIENTIST ,Johnson &amp; Johnson , São José dos Campos - SP,2018-04-18,"
SCIENTIST - ORAL CARE
Descrição
General description
Lead regional projects and support global projects for new Oral Care in LATAM,
being directly responsible for formulation development incorporating consumer
and technical insights from appropriate channels. Strong communication skills
together with intellectual curiosity are prerequisites. The candidate will
contribute strategically and operationally in the execution of projects, being
key focal point for cross-functional teams.
Responsibilities
Design and execution of new product development projects according to project
brief, defining scope, technical targets and problem resolution methods with
demonstrated rigor, aligned with milestones plan.
Ability to manage routine and laboratory processes. Risk taking and decision
making are critical components for investigation process and trouble shooting.
Displays increasing levels of independence at work with the ability to
prioritize and manage complexity while working collaboratively with critical
stakeholders in the regional or global levels
Independently designs experiments/analysis based on interpretations and
conclusions.
Establish a team environment of innovation, design thinking and collaboration,
reinforcing the culture of constant consumer learning and competitor
assessment practices.
Operation with some independence from technical or strategic direction and
execute projects and analysis with hands-on involvement.
Ensure compliance with Quality procedures, regulatory requirements, and stay
current on GMP
Qualificações
Bachelor’s degree in Pharmacy, Chemistry or Chemical Engineering
Fluent English
Previous experience in R&D formula development is required
Previous experience in Oral Care is preferred
Good communication, interpersonal and influencing skills are required
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-scientist-oral-care-johnson-johnson-sao-jose-dos-campos-sp-3794616
#3818908,Vaga de Estágio Desenvolvimento Java E Data Stage ,Stefanini , São Paulo - SP,2018-04-20,"
Estágio Desenvolvimento Java E Data Stage - Butantã
Descrição
Área e especialização profissional: Informática, TI, Telecomunicações - Programador / Desenvolvedor
Nível hierárquico: Estagiário
Local de trabalho: São Paulo, SP
Já imaginou fazer parte da maior multinacional brasileira de tecnologia?
Se você gosta de desafios, temos um para você!
Venha participar de um processo seletivo dinâmico.
Requisitos: conhecimento em lógica de programação, ser estudante de graduação de cursos de TI.
Teremos tanto para Java quanto Data Stage
Exigências
Escolaridade Mínima: Ensino Superior
Benefícios adicionais
Seguro de Vida, Vale-refeição, Vale-transporte
Título da vaga Estágio Desenvolvimento Java E Data Stage - Butantã
Empresa Stefanini
Seguir esta empresa
* Jornada Parcial manhãs
* Tipo de contrato Estágio
* Salário R$ 1.000,00 a R$ 1.200,00 (Bruto mensal)
* Localidade São Paulo, SP
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-estagio-desenvolvimento-java-e-data-stage-butanta-stefanini-sao-paulo-sp-3818908
#3815669,Vaga de Estagio – Data Analytics/Inteligencia de Mercado ,General Electric (GE) , São Paulo - SP,2018-04-19,"
Estagio – Data Analytics/Inteligencia de Mercado
Business:
GE Renewable Energy
Business Segment:
Renewable Energy OnShore Wind
Function:
Marketing
About Us:
GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Through our people, leadership development, services, technology and scale, GE delivers better outcomes for global customers by speaking the language of industry.
Role Summary/Purpose:
Ensure GE's decision making is based in the right set of data and assumptions. Analyze and investigate Renewables trends in the region: contracting mechanisms, competition, installed capacity, GE's performance, etc to provide recommendations to the leadership team on the right business strategy. Interact with different functions within GE (Marketing, Sales, Services, Pricing, etc)
Essential Responsibilities:
Own and manage key industry and business data. Bring the best of different sets of information from internal and external sources to build one source of truth for business decisions by generating easy visualization mechanisms to support different stakeholders within the organization for Latin America and then expand to North America. Test and Implement Analytics solutions using platform technologies and tools. Leverage strong data engineering & analytics background to develop new analytics. Responsible for the implementation of data engineering solutions.
Qualifications/Requirements:
Bachelor degree in Engineering, Information Systems or Information Technology – Advanced Excel is a must
* VBA desirable. Fluent English, Spanish desired. Tableau and Salesforcecom are an advantage.
Desired Characteristics:
Strong analytical and time-management skills. Detail oriented. Self-motivating and always raising the bar on yourself
* Ability to work in a cross functional and matrix environment
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-estagio-data-analytics-inteligencia-de-mercado-general-electric-ge-sao-paulo-sp-3815669
#3815339,Vaga de Especialista Datastage Pleno ,eWave do Brasil , São Caetano do Sul - SP,2018-04-19,"
Especialista Datastage Pleno - Analista Bi
Descrição
Área e especialização profissional: Informática, TI, Telecomunicações - TI
Nível hierárquico: Analista
Local de trabalho: São Caetano do Sul, SP
Imprescindível:
Experiência de pelo menos 3 anos de liderança técnica em desenolvimento ETL
Dominio Ferramenta IBM Infosphere Datastage
Conhecimento em programação SQL
Inglês intermediário
Conhecimento no banco DB2
Conhecimento em servidores UNIX e Shell Script
Formação Superior em computação / informática
Atividades da :
Atuação com Analise funcional e BI Business Intelligence, Data Warehouse, sólido conhecimento em modelagem de dados relacional, multidimensional e especificação dos processos de extração, transformação e carga
Experiência em levantamento de requisitos junto ao usuário, criação de especificação funcionais, técnicas, acompanhamento, desenvolvimento e validação das demandas (necessidades, problemas e s) de negócio
Sólidos conhecimento em desenvolvimento ETL ferramenta Datastage IBM versão 9.1.2
Vivência em análise e desenvolvimento de (sequence/ parallel) jobs ETL na ferramenta DataStage, modelagem dimensional
Necessária experiência em análise de logs, deploy e testes unitários/ integrado
Vivência em análise e desenvolvimento de (sequence/ parallel) jobs ETL na ferramenta DataStage, modelagem dimensional
Interação com equipe de banco de dados, aix e produção
Facilitar a comunicação das diferentes áreas de TI e negócio frente a equipe de projetos de BI
Exigências
Escolaridade Mínima: Ensino Superior
Título da vaga Especialista Datastage Pleno - Analista Bi
Empresa EWAVE DO BRASIL
Seguir esta empresa
* Jornada Período Integral
* Tipo de contrato Efetivo – CLT
* Salário A combinar
* Localidade São Caetano do Sul, SP
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-especialista-datastage-pleno-analista-bi-ewave-do-brasil-sao-caetano-do-sul-sp-3815339
#3841313,Vaga de Analista De Gestão De Ativos ,NTT Data , São Paulo - SP,2018-04-24,"
Analista De Gestão De Ativos
Descrição
Área e especialização profissional: Informática, TI, Telecomunicações - TI
Nível hierárquico: Analista
Local de trabalho: São Paulo, SP
Atividades:
Executar atividades relacionadas a gestão de ativos (hardware). Realizar monitoramento via ferramenta WDM. Controlar parque de ativos e elaborar relatórios. Análise de inventário de equipamentos de TI.
Requisitos:
Experiência com gestão de ativos. Habilidade com Excel, principalmente com Macros. Desejável conhecimento em ferramentas de gestão de ativos (SCCM, etc.). Desejável certificação ITIL. Disponibilidade para atuar na região da Mooca.
Jornada de trabalho de segunda a sexta das 08h às 18h.
Exigências
Escolaridade Mínima: Ensino Superior
Benefícios adicionais
Assistência médica, Assistência odontológica, Auxílio creche, Previdência Privada, Seguro de Vida, Vale-alimentação, Vale-refeição, Vale-transporte
Título da vaga Analista De Gestão De Ativos
Empresa NTT Data Services
Seguir esta empresa
* Jornada Período Integral
* Tipo de contrato Efetivo – CLT
* Salário R$ 2.200,00 a R$ 2.600,00 (Bruto mensal)
* Localidade São Paulo, SP
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-analista-de-gestao-de-ativos-ntt-data-sao-paulo-sp-3841313
#3782424,Vaga de Técnico De Suporte ,Grupo Algar , São José dos Campos - SP,2018-04-15,"
Técnico De Suporte - Master Data
Descrição
Área e especialização profissional: Informática, TI, Telecomunicações - Suporte Técnico
Nível hierárquico: Operacional
Local de trabalho: São José dos Campos, SP
GARANTIR O CUMPRIMENTO DOS REQUISITOS DOS CLIENTES (SLA / NÍVEL DE SERVIÇO), VISANDO EXCEDER AS EXPECTATIVAS DOS CLIENTES PROVENDO SERVIÇOS DE TI PROATIVAMENTE E COM QUALIDADE.
ACOMPANHAR O CUMPRIMENTO DOS REQUISITOS DOS CLIENTES (SLA / NÍVEL DE SERVIÇO), VISANDO EXCEDER AS EXPECTATIVAS DOS CLIENTES PROVENDO SERVIÇOS DE TI PROATIVAMENTE E COM QUALIDADE
Atuará na área de SAP Master Data no cliente, sendo responsável pelo gerenciamento de fila e criação de materiais Brasil e LATAM.
Formação Superior em TI ou em áreas administrativas - Cursando ou Completo.
Experiência em ambientes corporativos atuando em funções administrativas ou em suporte TI niveis 1 e 2.
Conhecimentos específicos:
Excel Avançado.
Conhecimento de algum ERP, preferencialmente SAP.
Inglês e/ou Espanhol avançados.
Local: São José dos Campos.
Horário de trabalho: 8h as 17h.
Exigências
Escolaridade Mínima: Ensino Superior
Inglês (Avançado)
Título da vaga Técnico De Suporte - Master Data
Empresa ALGAR S/A
Seguir esta empresa
* Jornada Período Integral
* Tipo de contrato Efetivo – CLT
* Salário A combinar
* Localidade São José dos Campos, SP
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-tecnico-de-suporte-master-data-grupo-algar-sao-jose-dos-campos-sp-3782424
#3760586,Vaga de R&amp;D Scientist ,Reckitt Benckiser (RB) , São Paulo - SP,2018-04-12,"
R&D Scientist - Innovation HUB
Assume leadership for low/medium risk projects in relevant category, and support to moderate/high risk, ensuring the implementation at regional/local level with all required formulation, feasibility work, analysis, validation, stability testing, industrial trials and dossier preparation are performed in accordance with internal and external standards and market conditions
Support Innovation HUB with technical challenges for the innovation pipeline
Maintain good communication with marketing to accomplish objectives
Interact with technical functions (R&D, Supply, Packaging Development, etc) to define and share best practices.
Assist with determination of resources to support project delivery
Bachelor's Degree in Chemistry, Pharmacy, Chemical engineering or other relevant science;
Fluent in English.
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-r-d-scientist-innovation-hub-reckitt-benckiser-rb-sao-paulo-sp-3760586
#3756008,Vaga de Especialista DataStage ,GFT , São Paulo - SP,2018-04-11,"
Especialista DataStage
Buscamos profissionais apaixonados por tecnologia, que queiram trabalhar em
uma empresa que proporcione melhor qualidade de vida e um modelo de carreira
bem estruturado. Temos uma forte equipe de profissionais aptos a te fornecer o
melhor crescimento de carreira.
Formação Acadêmica:
Superior completo em Análise de Sistemas, Ciência da Computação, Engenharia da Computação, Sistemas de Informação ou afins
Requisitos:
Experiência com a solução IBM InfoSphere DataStage versão 11.5; 
IBM InfoSphere QualityStage Versão 11.5; 
Experiência no uso e administração da solução IBM InfoSphere Governance Catalog (Business Glossary) para a criação, manutenção e suporte de assets (termos e glossários); 
Experiência na ferramenta IBM InfoSphere Metadata Asset Manager (Importação de assets e criação de Bridges); 
Habilidade para atuar com Structured Query Language - SQL, em especial com banco de dados Oracle e SAP Sybase IQ; 
Conhecimentos dos conceitos de Data WareHouse, modelos operacionais e dimensionais, incluindo Hadoop e BigData; 
Processos de ETL e UNIX shell scripting; 
Habilidade para desenvolver e manter modelos de dados com a ferramenta SAP PowerDesigner; 
Experiência com a metodologia Agile; 
Experiência com ferramenta de orquestração de processos como UC4 ou Control-M.
Local de trabalho:
São Paulo - Zona Sul
Para trabalhar conosco, é necessário que você:
Não tenha medo de desafios profissionais
Possua facilidade para se comunicar em inglês, quando este idioma for especificado na vaga
Tenha disponibilidade para viagens internacionais e 
Tenha experiência profissional com tecnologias
Porque escolher a GFT?
Utilizamos as últimas tecnologias e metodologias e oferecemos:
Um modelo de carreira que incentiva o intercâmbio profissional e cultural 
Salário e benefícios competitivos 
Um ambiente que inspira a inovação, promove e incentiva o intercâmbio profissional e cultural
Horários flexíveis que permitem o equilíbrio entre trabalho e uma vida saudável 
Programas de incentivo diferenciados (certificações, treinamentos, indicações, etc.)
Espaço de trabalho diferenciado com games e área de descompressão
Faça parte desse time!
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-especialista-datastage-gft-sao-paulo-sp-3756008
#3753034,Vaga de Data Center Group (DCG) Solutions and Value Products Brand Manage ,Lenovo , São Paulo - SP,2018-04-11,"
Data Center Group (DCG) Solutions and Value Products Brand Manage
Position Title: Data Center Group (DCG) Solutions and Value Products Brand
Manage 
Location: BRA-Sao Paulo 
Functional Area: Manufacturing 
Facility: Regional Office 
Relocation Provided: No 
Education Required: Bachelors Degree 
Experience Required: 7 - 10 Years 
Travel Percent: 0 
***Position Description* ** 
Lenovo, a member of the Fortune Global 500, is the fastest growing technology
company on the planet, with growth outpacing our competition quarter after
quarter. Lenovo is looking for a Data Center Group  (DCG) Solutions and Value
Products Brand Manager for Brazil to join our team. 
A DCG Solutions Product Manager/Brand Manager for Lenovo will be responsible
for: 
4P strategy definition for Value/Solutions segments. With a special focus in
the product and pricing strategy to be successful in the market. 
Manage the entire product line life cycle from strategic planning to
tactical activities 
Drive marketing activities such as product launch, channel training and
product presentations 
Specify market requirements for current and future products and solutions by
conducting market research supported by on-going visits to customers, channels
and ISVs. 
Develop and implement a company-wide go-to-market plan, working with all
departments to execute. 
Work with external third parties to develop partnerships that help solution
selling.  Leverage co-marketing activities and cross channels recruitment with
ISVs. 
Demand planning, and inventory management.
***Position Requirements* ** 
POSITION REQUIREMENTS: 
Minimum of 3 years experience as a Product Manager with focus in Solutions
Selling. 
8+ years of experience in a job in the technology industry 
Excellent written and verbal communication skills 
Technical background, with experience in Enterprise Products 
Excellent teamwork skills 
Proven ability to influence cross-functional teams without formal authority 
Must be able to travel 15% of the time 
Bachelor’s degree 
English language Skills
",2018-04-24,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-data-center-group-dcg-solutions-and-value-products-brand-manage-lenovo-sao-paulo-sp-3753034
