id,positClean,companyClean,dateClean,dateCollect,descClean,skills,education,language,cityClean,stateClean,country,url,site
#3822507, ASSISTANT SCIENTIST,Johnson  amp  Johnson,2018-04-21,2018-04-24,assistant scientist cientista junior descrição general description execute rd activities   implementation  projects related  products materials  technologies  engineered products  existing business  support troubleshooting related  manufacturingproduction areas responsabilities support  implementation   new specifications  smp projects  guarantee adherence support plan  execute production trials  smp projects sense  urgency  needed  proactively respond  problems  opportunities proactively investigates  develops improvements  existing processes  develops new  improved processes participate  crossfunctional project teams provide critical business information  organizational leaders ability  manage complexity   work collaboratively  business partners execute laboratory analysis compile  analyze data identify causes draw conclusions  generate reports qualificações  minimum  bachelor degree  material engineering chemical engineering biochemistry engineering chemistry  related areas  required experience  product development  consumer products   differential knowledge   field  adhesive nonwovens  fibers  desirable advanced english  required good communication skills within different areas team work,, bachelor, english,São José dos Campos,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-assistant-scientist-cientista-junior-johnson-johnson-sao-jose-dos-campos-sp-3822507,loveMondays
#3794616, SCIENTIST,Johnson  amp  Johnson,2018-04-18,2018-04-24,scientist oral care descrição general description lead regional projects  support global projects  new oral care  latam  directly responsible  formulation development incorporating consumer  technical insights  appropriate channels strong communication skills together  intellectual curiosity  prerequisites  candidate will contribute strategically  operationally   execution  projects  key focal point  crossfunctional teams responsibilities design  execution  new product development projects according  project brief defining scope technical targets  problem resolution methods  demonstrated rigor aligned  milestones plan ability  manage routine  laboratory processes risk taking  decision making  critical components  investigation process  trouble shooting displays increasing levels  independence  work   ability  prioritize  manage complexity  working collaboratively  critical stakeholders   regional  global levels independently designs experimentsanalysis based  interpretations  conclusions establish  team environment  innovation design thinking  collaboration reinforcing  culture  constant consumer learning  competitor assessment practices operation   independence  technical  strategic direction  execute projects  analysis  handson involvement ensure compliance  quality procedures regulatory requirements  stay current  gmp qualificações bachelor s degree  pharmacy chemistry  chemical engineering fluent english previous experience  rd formula development  required previous experience  oral care  preferred good communication interpersonal  influencing skills  required,, bachelor, english,São José dos Campos,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-scientist-oral-care-johnson-johnson-sao-jose-dos-campos-sp-3794616,loveMondays
#3818908, Estágio Desenvolvimento Java E Data Stage,Stefanini,2018-04-20,2018-04-24,estágio desenvolvimento java  data stage butantã descrição área  especialização profissional informática ti telecomunicações programador desenvolvedor nível hierárquico estagiário local  trabalho  paulo sp  imaginou fazer parte  maior multinacional brasileira  tecnologia   gosta  desafios     venha participar   processo seletivo dinâmico requisitos conhecimento  lógica  programação ser estudante  graduação  cursos  ti  tanto  java quanto data stage exigências escolaridade mínima ensino superior benefícios adicionais seguro  vida valerefeição valetransporte título  vaga estágio desenvolvimento java  data stage butantã empresa stefanini seguir  empresa jornada parcial manhãs tipo  contrato estágio salário r  r bruto mensal localidade  paulo sp, java storage java storage java storage r r,,,São Paulo,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-estagio-desenvolvimento-java-e-data-stage-butanta-stefanini-sao-paulo-sp-3818908,loveMondays
#3815669, Estagio Data Analytics Inteligencia de Mercado,General Electric  GE,2018-04-19,2018-04-24,estagio data analyticsinteligencia  mercado business ge renewable energy business segment renewable energy onshore wind function marketing  us ge   worlds digital industrial company transforming industry  softwaredefined machines  solutions   connected responsive  predictive   people leadership development services technology  scale ge delivers better outcomes  global customers  speaking  language  industry role summarypurpose ensure ges decision making  based   right set  data  assumptions analyze  investigate renewables trends   region contracting mechanisms competition installed capacity ges performance etc  provide recommendations   leadership team   right business strategy interact  different functions within ge marketing sales services pricing etc essential responsibilities   manage key industry  business data bring  best  different sets  information  internal  external sources  build one source  truth  business decisions  generating easy visualization mechanisms  support different stakeholders within  organization  latin america   expand  north america test  implement analytics solutions using platform technologies  tools leverage strong data engineering analytics background  develop new analytics responsible   implementation  data engineering solutions qualificationsrequirements bachelor degree  engineering information systems  information technology advanced excel   must vba desirable fluent english spanish desired tableau  salesforcecom   advantage desired characteristics strong analytical  timemanagement skills detail oriented selfmotivating  always raising  bar   ability  work   cross functional  matrix environment, visualization excel tableau matrix, bachelor, english spanish,São Paulo,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-estagio-data-analytics-inteligencia-de-mercado-general-electric-ge-sao-paulo-sp-3815669,loveMondays
#3815339, Especialista Datastage Pleno,eWave do Brasil,2018-04-19,2018-04-24,especialista datastage pleno analista bi descrição área  especialização profissional informática ti telecomunicações ti nível hierárquico analista local  trabalho  caetano  sul sp imprescindível experiência   menos anos  liderança técnica  desenolvimento etl dominio ferramenta ibm infosphere datastage conhecimento  programação sql inglês intermediário conhecimento  banco db conhecimento  servidores unix  shell script formação superior  computação informática atividades  atuação  analise funcional  bi business intelligence data warehouse sólido conhecimento  modelagem  dados relacional multidimensional  especificação  processos  extração transformação  carga experiência  levantamento  requisitos junto  usuário criação  especificação funcionais técnicas acompanhamento desenvolvimento  validação  demandas necessidades problemas  s  negócio sólidos conhecimento  desenvolvimento etl ferramenta datastage ibm versão vivência  análise  desenvolvimento  sequence parallel jobs etl  ferramenta datastage modelagem dimensional necessária experiência  análise  logs deploy  testes unitários integrado vivência  análise  desenvolvimento  sequence parallel jobs etl  ferramenta datastage modelagem dimensional interação  equipe  banco  dados aix  produção facilitar  comunicação  diferentes áreas  ti  negócio frente  equipe  projetos  bi exigências escolaridade mínima ensino superior título  vaga especialista datastage pleno analista bi empresa ewave  brasil seguir  empresa jornada período integral tipo  contrato efetivo clt salário  combinar localidade  caetano  sul sp, sql servidor shell,,,São Caetano do Sul,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-especialista-datastage-pleno-analista-bi-ewave-do-brasil-sao-caetano-do-sul-sp-3815339,loveMondays
#3841313, Analista De Gestão De Ativos,NTT Data,2018-04-24,2018-04-24,analista  gestão  ativos descrição área  especialização profissional informática ti telecomunicações ti nível hierárquico analista local  trabalho  paulo sp atividades executar atividades relacionadas  gestão  ativos hardware realizar monitoramento via ferramenta wdm controlar parque  ativos  elaborar relatórios análise  inventário  equipamentos  ti requisitos experiência  gestão  ativos habilidade  excel principalmente  macros desejável conhecimento  ferramentas  gestão  ativos sccm etc desejável certificação itil disponibilidade  atuar  região  mooca jornada  trabalho  segunda  sexta  h  h exigências escolaridade mínima ensino superior benefícios adicionais assistência médica assistência odontológica auxílio creche previdência privada seguro  vida valealimentação valerefeição valetransporte título  vaga analista  gestão  ativos empresa ntt data services seguir  empresa jornada período integral tipo  contrato efetivo clt salário r  r bruto mensal localidade  paulo sp, excel r r,,,São Paulo,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-analista-de-gestao-de-ativos-ntt-data-sao-paulo-sp-3841313,loveMondays
#3782424, Técnico De Suporte,Grupo Algar,2018-04-15,2018-04-24,técnico  suporte master data descrição área  especialização profissional informática ti telecomunicações suporte técnico nível hierárquico operacional local  trabalho  josé  campos sp garantir  cumprimento  requisitos  clientes sla nível  serviço visando exceder  expectativas  clientes provendo serviços  ti proativamente   qualidade acompanhar  cumprimento  requisitos  clientes sla nível  serviço visando exceder  expectativas  clientes provendo serviços  ti proativamente   qualidade atuará  área  sap master data  cliente sendo responsável  gerenciamento  fila  criação  materiais brasil  latam formação superior  ti   áreas administrativas cursando  completo experiência  ambientes corporativos atuando  funções administrativas   suporte ti niveis  conhecimentos específicos excel avançado conhecimento  algum erp preferencialmente sap inglês eou espanhol avançados local  josé  campos horário  trabalho h  h exigências escolaridade mínima ensino superior inglês avançado título  vaga técnico  suporte master data empresa algar sa seguir  empresa jornada período integral tipo  contrato efetivo clt salário  combinar localidade  josé  campos sp, excel, master master master, espanhol,São José dos Campos,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-tecnico-de-suporte-master-data-grupo-algar-sao-jose-dos-campos-sp-3782424,loveMondays
#3760586, R amp D Scientist,Reckitt Benckiser  RB,2018-04-12,2018-04-24,rd scientist innovation hub assume leadership  lowmedium risk projects  relevant category  support  moderatehigh risk ensuring  implementation  regionallocal level   required formulation feasibility work analysis validation stability testing industrial trials  dossier preparation  performed  accordance  internal  external standards  market conditions support innovation hub  technical challenges   innovation pipeline maintain good communication  marketing  accomplish objectives interact  technical functions rd supply packaging development etc  define  share best practices assist  determination  resources  support project delivery bachelors degree  chemistry pharmacy chemical engineering   relevant science fluent  english,, bachelor, english,São Paulo,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-r-d-scientist-innovation-hub-reckitt-benckiser-rb-sao-paulo-sp-3760586,loveMondays
#3756008, Especialista DataStage,GFT,2018-04-11,2018-04-24,especialista datastage buscamos profissionais apaixonados  tecnologia  queiram trabalhar   empresa  proporcione melhor qualidade  vida   modelo  carreira bem estruturado   forte equipe  profissionais aptos   fornecer  melhor crescimento  carreira formação acadêmica superior completo  análise  sistemas ciência  computação engenharia  computação sistemas  informação  afins requisitos experiência   solução ibm infosphere datastage versão ibm infosphere qualitystage versão experiência  uso  administração  solução ibm infosphere governance catalog business glossary   criação manutenção  suporte  assets termos  glossários experiência  ferramenta ibm infosphere metadata asset manager importação  assets  criação  bridges habilidade  atuar  structured query language sql  especial  banco  dados oracle  sap sybase iq conhecimentos  conceitos  data warehouse modelos operacionais  dimensionais incluindo hadoop  bigdata processos  etl  unix shell scripting habilidade  desenvolver  manter modelos  dados   ferramenta sap powerdesigner experiência   metodologia agile experiência  ferramenta  orquestração  processos  uc  controlm local  trabalho  paulo zona sul  trabalhar conosco é necessário     medo  desafios profissionais possua facilidade   comunicar  inglês   idioma  especificado  vaga  disponibilidade  viagens internacionais   experiência profissional  tecnologias porque escolher  gft utilizamos  últimas tecnologias  metodologias  oferecemos  modelo  carreira  incentiva  intercâmbio profissional  cultural salário  benefícios competitivos  ambiente  inspira  inovação promove  incentiva  intercâmbio profissional  cultural horários flexíveis  permitem  equilíbrio  trabalho   vida saudável programas  incentivo diferenciados certificações treinamentos indicações etc espaço  trabalho diferenciado  games  área  descompressão faça parte desse time, modelo hcatalog metadata query sql modelo hadoop big data shell scripting modelo modelo,,,São Paulo,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-especialista-datastage-gft-sao-paulo-sp-3756008,loveMondays
#3753034, Data Center Group DCG Solutions and Value Products Brand Manage,Lenovo,2018-04-11,2018-04-24,data center group dcg solutions  value products brand manage position title data center group dcg solutions  value products brand manage location brasao paulo functional area manufacturing facility regional office relocation provided  education required bachelors degree experience required years travel percent position description lenovo  member   fortune global   fastest growing technology company   planet  growth outpacing  competition quarter  quarter lenovo  looking   data center group dcg solutions  value products brand manager  brazil  join  team  dcg solutions product managerbrand manager  lenovo will  responsible  p strategy definition  valuesolutions segments   special focus   product  pricing strategy   successful   market manage  entire product line life cycle  strategic planning  tactical activities drive marketing activities   product launch channel training  product presentations specify market requirements  current  future products  solutions  conducting market research supported  ongoing visits  customers channels  isvs develop  implement  companywide gotomarket plan working   departments  execute work  external third parties  develop partnerships  help solution selling leverage comarketing activities  cross channels recruitment  isvs demand planning  inventory management position requirements position requirements minimum  years experience   product manager  focus  solutions selling years  experience   job   technology industry excellent written  verbal communication skills technical background  experience  enterprise products excellent teamwork skills proven ability  influence crossfunctional teams without formal authority must  able  travel   time bachelor s degree english language skills, value value value, bachelor bachelor, english,São Paulo,SP,Brasil,https://www.lovemondays.com.br/vagas/vaga-de-data-center-group-dcg-solutions-and-value-products-brand-manage-lenovo-sao-paulo-sp-3753034,loveMondays
