,predRecom,title
0,Yes,marketing intern
1,Yes,great team work project
2,Yes,good company culture
3,No,much chaos
4,Yes,engineer
5,Yes,good place work right profile everyone
6,Yes,business development emc
7,Yes,working big company
8,Yes,engineer
9,Yes,inside sales manager
10,Yes,product manager intern
11,Yes,marketing manager
12,Yes,engineering technician
13,Yes,consultant
14,Yes,operations
15,Yes,great company
16,Yes,pretty good
17,Yes,flexible
18,Yes,dell former employee
19,Yes,technical systems analyst
20,Yes,inside solutions architect
21,Yes,good benefits salary
22,Yes,good pay great benefits difficult move ladder
23,Yes,pleasant atmosphere interesting product
24,Yes,great company
25,Yes,salary yrs experience
26,Yes,positive experience
27,Yes,good place work
28,Yes,euc sales technologist
29,Yes,healthcare
30,Yes,software engineer
31,Yes,project mgr
32,Yes,account manager
33,Yes,great work place
34,Yes,customer service representative
35,Yes,working experience
36,Yes,principal software engineer
37,Yes,system integration engineer system administration
38,Yes,marketing program manager
39,Yes,software engineer
40,Yes,marketing program manager
41,No,smb
42,Yes,awesome company
43,Yes,account manager
44,Yes,production asssiociate
45,Yes,good
46,Yes,dell
47,Yes,dell principal qa engineer
48,Yes,sr consultant advisory solutions architect
49,Yes,salary expectations
50,Yes,sales rep
51,Yes,sr consultant advisory solutions architect
52,Yes,great place work
53,Yes,undergrad
54,No,none
55,Yes,program manager
56,No,principle qe engineer
57,Yes,awesome
58,Yes,one better places worked
59,Yes,great company
60,Yes,time dell
61,Yes,get experience get
62,Yes,get experience get
63,Yes,sr manager software development
64,Yes,technical staff
65,Yes,project manager
66,Yes,good place work
67,Yes,working dell
68,Yes,infrastructure business
69,Yes,dell inc
70,Yes,moderate company
71,Yes,big
72,Yes,decent place work
73,No,outsourcing
74,Yes,great environment
75,Yes,senior consultant
76,Yes,account executive
77,Yes,quick review
78,Yes,perot dell ntt data
79,Yes,project manager
80,Yes,technical support engineer
81,Yes,sales
82,Yes,resolution expert
83,Yes,ups downs
84,Yes,around decent place work
85,Yes,consulting manager
86,Yes,support technician ii
87,Yes,good worklife balance
88,Yes,decent fast moving livable
89,Yes,senior software engineer
90,Yes,meritocracy
91,Yes,customer service engineer
92,Yes,principal developer
93,Yes,greatly enlightening experience
94,Yes,delivery manager emc
95,Yes,review
96,Yes,sql dba
97,Yes,information technologist
98,Yes,solution architect
99,Yes,good corporate training
100,Yes,still wip
101,Yes,tech support analyst
102,Yes,nice work environment friendly people
103,Yes,principal engineer
104,Yes,dellemc
105,Yes,ok
106,Yes,good
107,Yes,business analyst
108,Yes,experience
109,Yes,changes
110,Yes,great place work life balance
111,Yes,overall ok
112,Yes,great place learn
113,Yes,company
114,Yes,good place work
115,Yes,companies
116,Yes,business operations analyst
117,Yes,emc good company overall
118,Yes,product marketing
119,Yes,flexible company
120,Yes,ok
121,Yes,good place great people
122,Yes,finance overview
123,Yes,vp sales
124,Yes,dell emc post merger
125,Yes,great oppurtunity
126,Yes,supply chain senior advisor
127,Yes,inside sales support rep
128,No,dont work
129,Yes,good workplace
130,Yes,work life balance
131,Yes,solution consultant
132,Yes,ae
133,Yes,business analyst
134,Yes,decent pay good work life balance
135,Yes,sales
136,Yes,project coordinator
137,Yes,account managment gcc
138,Yes,project manager
139,Yes,principal architect
140,Yes,dellemc
141,Yes,sr manager
142,Yes,greattechnology company work
143,Yes,needed information dell
144,Yes,dga
145,No,jury still
146,Yes,accounting consultant
147,Yes,good company
148,Yes,configuration management specialist
149,Yes,used great place work
150,Yes,principle engineer
151,Yes,principle engineer
152,Yes,senior consulting engineer
153,Yes,getting work done
154,Yes,engineering manager
155,Yes,engineering manager
156,Yes,ok
157,Yes,past isr
158,Yes,senior network security analyst
159,Yes,consultant software engineer
160,Yes,culture changing dell
161,Yes,manager
162,Yes,basic
163,Yes,pretty good company needs come better strategic position industry road
164,Yes,isr
165,Yes,good
166,Yes,account executive
167,Yes,dell
168,Yes,good
169,Yes,employment dell
170,Yes,princ cse
171,Yes,rotating door
172,Yes,sw engineer
173,Yes,good culture
174,Yes,great company work
175,Yes,program manager
176,No,stress way much non valueadded work
177,Yes,excellent place work work
178,Yes,excellent place work work
179,Yes,premerger review emc
180,Yes,decent work  get
181,Yes,laid part dellemc transition
182,Yes,varchitect technical presales
183,Yes,salary
184,No,senior qe engineer
185,Yes,warehouse worker
186,Yes,cool place
187,Yes,lot uncertainty
188,Yes,dell storage
189,Yes,senior software engineer
190,No,little upward movement available
191,Yes,mean worked phone bank
192,Yes,isr ii
193,Yes,corporate culture
194,Yes,contract project manager
195,Yes,title
196,Yes,sap consultant delivery support
197,Yes,good company
198,Yes,good big company
199,Yes,emc culture
200,Yes,good place work
201,Yes,handles change well
202,Yes,overview
203,Yes,sa employee review
204,Yes,sa employee review
205,Yes,business support sr associate
206,Yes,dell emc
207,Yes,finance job
208,Yes,director
209,Yes,sr software qa engineer
210,Yes,sales
211,No,much fun anymore
212,Yes,director
213,Yes,bad
214,Yes,good place work
215,Yes,field service technician
216,Yes,dell
217,No,dell lincoln
218,Yes,great company
219,Yes,emc dell engineering
220,No,ok job focused employee
221,No,unknown road dell purchase
222,Yes,software quality engineer
223,Yes,year changes
224,Yes,interesting product
225,Yes,cautiously optimistic
226,Yes,supply chain program manager
227,Yes,hris analyst
228,Yes,good work life balance
229,No,clueless managing software companies bought
230,Yes,bad place
231,Yes,scale change
232,Yes,senior software engineer
233,Yes,real benefit change emc coming board
234,Yes,dell emc
235,Yes,principal sqe
236,Yes,tse
237,Yes,fun
238,Yes,great
239,Yes,product manager
240,Yes,intern
241,Yes,good part
242,Yes,dell overall great place work
243,Yes,greate place work
244,Yes,part emc good company work
245,Yes,project manager
246,Yes,overall satisfied
247,Yes,work
248,No,software play unknown
249,Yes,review
250,Yes,intern undergrad sr analysts
251,Yes,merger emc dell handled poorly best
252,Yes,principal developer
253,Yes,emc dell
254,Yes,software dev staff engineer
255,Yes,career growth
256,Yes,software engineer
257,Yes,consultant
258,Yes,good luck
259,Yes,manger
260,Yes,mixed
261,Yes,principal software engineer
262,Yes,good work culture opportunities learn flexibility
263,Yes,dga
264,Yes,job
265,Yes,newly promoted
266,Yes,working dell
267,Yes,dell review
268,Yes,software developer
269,Yes,good place work
270,Yes,good experience
271,Yes,software qa
272,Yes,phone support specialist
273,Yes,decent company work
274,Yes,oem account manager
275,Yes,exciting
276,Yes,intern
277,Yes,intern
278,Yes,dell
279,Yes,dellemc
280,Yes,emc predell
281,Yes,career growth opportunities great
282,Yes,great company red tape
283,No,old
284,Yes,sys admin
285,Yes,dell review
286,Yes,software developer
287,Yes,director level
288,Yes,gig company need forward looking leadership
289,Yes,executive administrative assistant
290,Yes,messaging engineer
291,Yes,test engineer
292,Yes,great company culture
293,Yes,good company work
294,Yes,tse
295,Yes,overall good place work
296,Yes,lots uncertainty
297,Yes,project manager
298,Yes,program manager
299,Yes,program manager
300,Yes,great place notable downsides
301,Yes,senior software engineer
302,Yes,stationary
303,Yes,inside account manager medium business
304,Yes,delivery manager
305,Yes,project manager
306,Yes,software developer
307,Yes,inside product specialist ii
308,Yes,sw qa
309,Yes,senior technical advisor
310,Yes,finance consultant
311,Yes,account executive dmr reseller
312,Yes,intern
313,No,nothing ever changes
314,Yes,workflow coordinator
315,Yes,suboptimized
316,Yes,operator
317,Yes,director
318,Yes,good company slow
319,Yes,platform engineer
320,Yes,dell review
321,Yes,good place work secure
322,No,claims
