company,date,title,dateCollect,status,location,recommend,outlook,ceo,pros,cons,adviceManag,id,rating
 Dell Reviews," May 8, 2018","""Marketing director""",2018-05-09,Former Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Great benefits and great management,Long hours and 60% travel is 90%,NI,20491013,5
 Dell Reviews," May 7, 2018","""Dell is a Great Place to Work""",2018-05-09,Current Employee - Pricing Manager,"Round Rock, TX",Recommends,Positive Outlook,Approves of,"Dell has a great culture of networking, you are able to reach out to anyone and set up time to chat. Dell is all about results, so they are flexible when it comes to working from home and work/life balance. As long as you deliver what you need to and perform well they are happy. They strive to be #1 in every business and shows by the investments they make and the money they are willing to spend to be the best. It's great working for a company that strives for that.","The onboarding wasn't as well developed for non-University hires and I didn't feel I received the best overview of Dell upon arrival. But, over time I have been able to go to trainings and gain that knowledge.",Ensure your new employees feel a part of your team and a part of Dell as a whole from day one. Make sure they are getting the training and onboarding they need to be successful and gain pride from working at Dell from the beginning.,20466834,5
 Dell Reviews," May 8, 2018","""Account Manager""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Good pay when it hits,Big historical quota blues happen,Make a more balanced historical quota,20487209,4
 Dell Reviews," May 5, 2018","""IT""",2018-05-09,Former Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Dell is an awesome company. The company have a great future,There is room for improvement for training opportunities,Continue to deepen and broaden your team's knowledge primarily on emerging technologies,20448975,4
 Dell Reviews," May 3, 2018","""good work culture, work life balance""",2018-05-09,Former Employee - Anonymous Employee,"Round Rock, TX",NI,NI,NI,"good work culture, work life balance",Too many process which is sometimes tiring,NI,20413702,5
 Dell Reviews," May 1, 2018","""Vice President of VMWare and Software Sales""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,"Leadership, people, end to end solution",there are no cons to mention,NI,20382066,5
 Dell Reviews," Apr 29, 2018","""Amazing Company""",2018-05-09,Current Employee - Account Manager II,"Oklahoma City, OK",Recommends,Positive Outlook,Approves of,- Culture- Pay- Work from home- People- Great CEO- Growth opportunities- Community involvement,- Quota (nature of the beast),Keep up the great work!,20359006,5
 Dell Reviews," Apr 29, 2018","""Inside Channel Account Manager""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Work/Life balance is generally fairly good. Overall quality management with typically many years working in a particular segment . Work from home 2-3 days a week dependent on team. Reasonable metrics.,New hiring training is more geared towards direct sales. Provide more support roles/training opportunities to help reps hit quota.,"More focus on channel specific training for new hires. More simplified compensation plan, continue to grow and nurture talent",20357959,4
 Dell Reviews," Apr 28, 2018","""Project manager""",2018-05-09,Former Employee - Anonymous Employee,NI,NI,NI,NI,"Great organization, customer focused and has solid structure",Says Yes too often to customers,NI,20348285,4
 Dell Reviews," Apr 27, 2018","""Great Place to work""",2018-05-09,Current Employee - Anonymous Employee,"Round Rock, TX",Recommends,Positive Outlook,Approves of,good work life balance !!!,need to figure out !!,NI,20340710,5
 IBM Reviews, seconds ago,"""BEST COMPANY in market""",2018-05-09,Current Employee - Applications Developer,Hyderabad (India),Recommends,Positive Outlook,Approves of,The working culture and environment is good here. Freedom to employees and facility of work from home.,Lagging in behind free services to employees.,NI,17651831,5
 IBM Reviews," Apr 8, 2018","""Great company""",2018-05-09,Former Employee - Anonymous Employee,NI,NI,NI,NI,"benefits, people, employees, pay, customers","coworkers, management, stressful, pain, pressure",NI,20069266,5
 IBM Reviews," May 8, 2018","""I love Ibm""",2018-05-09,Current Employee - Senior Software Engineer,"India, TN",Recommends,Positive Outlook,Approves of,It is good company to work.job security is there,Hike is very less and on-site opportunity only old people get,It is management based company,20491268,5
 IBM Reviews," May 9, 2018","""Awesome""",2018-05-09,Current Employee - Early Stage Specialist,"Durham, NC",NI,NI,NI,Decdicated at expanding their employees knowledge,Resources can a little better,NI,20503906,5
 IBM Reviews," May 1, 2018","""Watson Health is good. Low rating seems to be from old IBM divisions.""",2018-05-09,Current Employee - Software Engineer,"Cambridge, MA",Recommends,Negative Outlook,Approves of,"- Less politics. Code code code.- Build and develop everything from scratch.- Real impact in healthcare (industry leader in GxP cloud).- Decent new stacks especially in Big Data area.- Robust & well-built automation platform.- Microservice design.- Agile & small team.- Slack, latest macbook series, brand new building, open office.- Stellar engineers.- Many top engineers join Watson Health from other IBM division. This tells a lot.- Relatively young and new fast-paced environment.- The project many times mentioned by Ginni in tech talks.- You feel important and have a rewarding contribution.Feels like a growing startup inside tech giant.Does not feel like traditional IBM.We hate traditional IBM.We moved on.Join Watson Health.","- No free food.- Pay is flat standard in Cambridge - behind G, FB, APPL, AMZ by far.- Still seeing old-timers IBM zombies with thinkpad and sametime messenger roaming around every once in a while. Frusrating.- The way we conduct all-hands meeting, review, training, paperworks, at many times are still very old-school despite new engineering tools invested.Again, the biggest downside is the IBM general outlook.We suffer a lot from this.","Continue to improve the culture, invest more on people.",20393682,5
 IBM Reviews," May 8, 2018","""Intern - business development""",2018-05-09,Current Employee - Anonymous Employee,NI,NI,NI,NI,Great management and follow up,Not much flexible hours as i was studying,NI,20487575,4
 IBM Reviews," May 8, 2018","""Good Company with Work Life Balance""",2018-05-09,Current Employee - Data Analyst,"Atlanta, GA",Doesn't Recommend,Disapproves of CEO,NI,"Good wok life balance,Supporting team are easy to work withWork From Home is always a an option available.HR Support is Good",Plenty of processPlenty of documentationNo Salary IncrementPlenty of Management and Management Process Overhead.,"Please reduce you decision taking hierarchy , else it will keep falling.",20487843,4
 IBM Reviews," May 7, 2018","""General review of the IBM company""",2018-05-09,Former Employee - Senior Program Manager,"Armonk, NY",Recommends,Positive Outlook,NI,"Opportunity, Global, Talent, Relevant, Team,","Large, Competitive, Number, Fast paced,",Your employees are your most valuable asset. Always do right by them in the good times and the financially challenged times.,20470999,5
 IBM Reviews," May 8, 2018","""Great Company to work for!!""",2018-05-09,Former Employee - Anonymous Employee,NI,NI,NI,NI,"Employee friendly, learning and career growth opportunities","Salary not competitive, Account Management team needs to take more advanced modern approach.",NI,20485161,4
 IBM Reviews," May 6, 2018","""IBM is a great place to work!""",2018-05-09,Current Employee - Anonymous Employee,"Denver, CO",Recommends,Positive Outlook,Approves of,Exciting to work with a vast array of enterprise customers.,"IBM is a large company, with many products and services, it can be challenging to respond quickly to ever changing market dynamics.",Continue IBM's path in integrating Enterprise Design Thinking throughout the company.,20459548,5
 Microsoft Reviews," May 8, 2018","""Great technology employer to work for""",2018-05-09,Current Employee - Senior Consultant,"Chevy Chase, MD",Recommends,Positive Outlook,Approves of,Microsoft provides excellent opportunities for professionals who value the ability to work independently and take on challenging work.,Microsoft is not the place for underachievers or someone who doesn't want to put forth their best effort.,"Keep doing what you are doing. If anything, more opportunities to meet up with our colleagues face to face at conferences or offsites would be well worth the cost.",20493745,5
 Microsoft Reviews," Jan 28, 2013","""Thoughts after 10 years....""",2018-05-09,Current Employee - Anonymous Employee,"Redmond, WA",NI,NI,NI,"1. If you love tech, this is a great place. No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.2. What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations. If you've got family - the value of the benefits is even higher. 401k match is nice.3. Even with it's struggles MSFT is still a cash printing machine. This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs. The stock you own likely won't tank, but probably won't go up much either. You'll get a bonus each year and some stock. It's a decent life if you aren't looking to light the world on fire.","Brand on Your Resume: After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.Managing Your Career: Make you say this out loud so it registers - 90,000 employees work there. Double that for vendors. It is VERY hard to ""stand out"" and move up in the company. Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too. Not familiar with the stack rank? Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".","I'll type it here - but I don't they are listening...1. Help proven talent move laterally in the company for new opportunities.2. Kill/evolve the stack rank. Here's basically how it's viewed:. 30% of the company gets 1s and 2s - and they are happy. 50% get 3s and that basically feels like getting a ""C"" in school. This sucks for talented people when a multitude of UNCONTROLLABLE conditions keep you from getting into 1 or 2 range. The 20% getting anything below a 3 are walking dead. In summary, 70% of the company walk away from the review cycle feeling like crap. This is no good.After 10 years, I'm leaving - it's just a matter of time until I find the right opportunity. I need to find a company spends 90% of it's time building technology experiences, as opposed to 90% of its time building PowerPoints. And I expect to refuse the exit interview - because if you really cared what I thought, you wouldn't ask me after I decided to leave.",2320868,4
 Microsoft Reviews," May 7, 2018","""great company""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,"smart people, great benefits, room to grow",the commute could be better but that's not really their fault,keep the focus on empathy!,20477482,5
 Microsoft Reviews," May 7, 2018","""Great place to work""",2018-05-09,Former Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Great team with strong focus on changing the world,Can become a little hierarchical,Listen to the feedback from the WHI surveys,20479779,5
 Microsoft Reviews," May 7, 2018","""Good Company""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Lot of interesting project and very smart people.,things move slowly and pretty much top driven,You hire great people empower them to make decisions,20479854,5
 Microsoft Reviews," May 6, 2018","""Great""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,"Super fun with great people and many opportunity’s, they allowed me to take my love for my work to the next level","The only downside is the the lunch isn’t great, however, I prefer to bring from home. Also I don’t think the time for breaks is enough",The only thing I could or would say to improve the company is that I believe we need to form better ways of communication toward consumers,20461221,5
 Microsoft Reviews," May 7, 2018","""Awesome""",2018-05-09,Former Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,Diversity and inclusion taken very seriously,"Large organuzation, hence slow growth",Great,20467758,5
 Microsoft Reviews," May 5, 2018","""Director""",2018-05-09,Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,"Great working environment, flexible and cutting edge on all fronts. Benefits are fantastic along with their comp plan. Newly renovated office.",Opportunity to have a longer term career locally is limited as higher paid and more lucrative roles require a move to Seattle.,Please keep investing in your talent. The majority of work is accomplished with virtual teams therefore expand opportunities.,20452709,5
