company,date,title,dateCollect,status,location,recommend,outlook,ceo,pros,cons,adviceManag,id,rating
Oracle,17 de Maio de 2013,Empresa excelente para se trabalhar,2018-05-09,Mensageiro (Função: Auxiliar Administrativo) (Ex-Funcionário) –  ,"Brasília, DF",NI,NI,NI,PrósAlto nível de benefícios e ações de QVT,ContrasFalta de oportunidade de crescimento,NI,0e7c5d077b67a263,3
Oracle,13 de Abril de 2018,Empresa muito estruturada,2018-05-09,Business Development Consultant (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósBons benefícios e estruturas,ContrasPressão excessiva,NI,dc956168f3518b65,4
Oracle,16 de Março de 2018,I rate it as one of the best experience of my career,2018-05-09,Director Specialist (Ex-Funcionário) –  ,Rio de Janeiro,NI,NI,NI,"PrósExcellence in what is delivered to customer, peer support",ContrasPolitics,NI,769ff21b0c7ad6cf,5
Oracle,23 de Fevereiro de 2018,Boa empresa.,2018-05-09,Administrador de Banco de Dados (Ex-Funcionário) –  ,"Rio de Janeiro, RJ",NI,NI,NI,Prósambiente,Contrasconstantes mudanças,NI,de852e308eaeb11c,5
Oracle,12 de Dezembro de 2017,Focada em vendas,2018-05-09,Strategic Alliances & Channels Director - LATAM (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,7514fef2918bffc9,4
Oracle,9 de Novembro de 2017,Uma das melhores empresas a se trabalhar,2018-05-09,Consultor de Vendas (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,"PrósSalário, Benefícios, Horário Flexível","ContrasPoliticagem, gestor despreparado",NI,e4289777f951b985,4
Oracle,6 de Novembro de 2017,Empresa Dinamica,2018-05-09,Sales Representative (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósBenefícios,ContrasCultura da empresa,NI,13028fdfb5312a2a,3
Oracle,17 de Outubro de 2017,Empresa com ótimos beneficios,2018-05-09,Business development consultant (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,56e94ad446b0c3a6,5
Oracle,16 de Outubro de 2017,Ótima empresa,2018-05-09,Service Sales Renewal Representative II (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósFlexibilidade,ContrasEstacionamento,NI,a2a86f2871b85eb0,5
Oracle,5 de Outubro de 2017,Ambiente Profissional de alto nível,2018-05-09,DBA Oracle Senior (Ex-Funcionário) –  ,"Rio de Janeiro, RJ",NI,NI,NI,NI,NI,NI,a2162a23a1e114a1,5
Oracle,3 de Outubro de 2017,stressfull company,2018-05-09,Senior Lawyer (Ex-Funcionário) –  ,São Paulo,NI,NI,NI,Próshigh tech company,Contrasthe agressive envoironment,NI,537810e1dc214a03,3
Oracle,21 de Agosto de 2017,"Mais Bônus, que ônus.",2018-05-09,Gerente Comercial Senior (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósPaga-se bem,ContrasCompromete a saúde mental,NI,92d667213268dfb2,4
Oracle,8 de Agosto de 2017,Sales Representative,2018-05-09,Sales Representative (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,Prósna,Contrasna,NI,c8e65c9f6b85b941,5
Oracle,5 de Agosto de 2017,Excelente,2018-05-09,Channel Sales Manager (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,b11ee86d3ce75c26,5
Oracle,5 de Agosto de 2017,Overwork constantly,2018-05-09,Quality Assurance Manager (Ex-Funcionário) –  ,São Paulo,NI,NI,NI,"PrósTechnology, market reputation","ContrasHR, Human Factor, ignore personal life",NI,e92184134fd97d36,3
Oracle,3 de Julho de 2017,"É uma empresa que se diz moderna, porém sem nenhuma caracterísca.",2018-05-09,Territory Sales Manager (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,Prósbenefícios (seguro saúde),Contrasmodelo de comissionamento ruim,NI,fba3fc841dff1735,1
Oracle,21 de Junho de 2017,Ok,2018-05-09,Oracle DBA Sr (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósEnvolvimento com altíssima tecnologia,ContrasExcesso de chefes,NI,5739910c77d07978,2
Oracle,14 de Junho de 2017,Empresa boa para se trabalhar,2018-05-09,Technical Account Manager (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,"Próspaga regularmente, e tem bons niveis de benefícios e participação de lucro",Contrasambiente com exageros de exigência na área de vendas,NI,7ff25f7593acc8c1,5
Oracle,23 de Maio de 2017,Excelente,2018-05-09,Trainee em Informática (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósSalários e Benefícios,ContrasDistancia entre residencia e localidade,NI,31e4e262aaa5571e,5
Oracle,3 de Maio de 2017,Excelent company,2018-05-09,Independent Consultant/Contractor (Ex-Funcionário) –  ,São Paulo,NI,NI,NI,NI,NI,NI,c1f91ea75a99ea58,4
Oracle,18 de Abril de 2017,Empresa dinamica e competitiva,2018-05-09,Gerente (Funcionário Atual) –  ,"São Paulo, SP",NI,NI,NI,"PrósOs beneficios são otimos, salario de acordo com mercado","ContrasNao tem Previdencia, ambiente competitivo e hostil as vezes nao é harmonioso",NI,03f0fc476f62db90,4
Oracle,17 de Maio de 2013,Empresa excelente para se trabalhar,2018-05-09,Mensageiro (Função: Auxiliar Administrativo) (Ex-Funcionário) –  ,"Brasília, DF",NI,NI,NI,PrósAlto nível de benefícios e ações de QVT,ContrasFalta de oportunidade de crescimento,NI,0e7c5d077b67a263,3
Oracle,30 de Março de 2017,Buen ambiente laboral,2018-05-09,Customer Success Manager (Ex-Funcionário) –  ,Rio de Janeiro,NI,NI,NI,PrósSeguros,ContrasAumentos,NI,d4443059a23a25e6,5
Oracle,22 de Março de 2017,Great company.,2018-05-09,Account Executive for Strategic Accounts (Funcionário Atual) –  ,"Rio de Janeiro, Brazil",NI,NI,NI,NI,NI,NI,9002f427e34ee9be,5
Oracle,9 de Março de 2017,agradavel,2018-05-09,Analista de Sistemas (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,Prósgrande empresa para crescimento,Contrasmal remunerado,NI,df26b30ff3270be1,5
Oracle,8 de Março de 2017,Empresa adorável para trabalhar,2018-05-09,Assistente Administrativa (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósMuitos Benefícios,ContrasDistante da Residência,NI,d224bcad3b5e82b2,4
Oracle,7 de Março de 2017,Local de Muito Aprendizado,2018-05-09,Territory Manager (Ex-Funcionário) –  ,São Paulo,NI,NI,NI,PrósRemuneração agressiva,ContrasCompetição muitas vezes desleal,NI,d07487d516e1aeed,4
Oracle,20 de Janeiro de 2017,Ótima empresa para trabalhar.,2018-05-09,Principal Consultant (Funcionário Atual) –  ,São Paulo,NI,NI,NI,NI,NI,NI,cf61c4d4bd9b4fb4,5
Oracle,12 de Janeiro de 2017,"Empresa dinâmica, de forte cultura.",2018-05-09,Estagiário de Consultoria de CRM (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,"PrósBoas instalações, e bons benefícios.","ContrasSe o local do cliente for de alto nível, o vale-refeição pode não ser suficiente.",NI,4cdb16da8bfadf6c,3
Oracle,28 de Dezembro de 2016,Pior Experiencia da Minha Vida,2018-05-09,Analista de Nagocios (Ex-Funcionário) –  ,São Paulo,NI,NI,NI,PrósSalario e beneficios,ContrasTodo o resto,NI,af0d9d2b28675aeb,1
Oracle,14 de Setembro de 2016,Empresa dinâmica,2018-05-09,Project Manager (Ex-Funcionário) –  ,"Rio de Janeiro, RJ",NI,NI,NI,PrósBenefícios,,NI,dcbf527cba9dbd0f,5
Oracle,4 de Setembro de 2016,Empresa extremamente competitiva,2018-05-09,Gerente de Vendas de Software (Ex-Funcionário) –  ,"Rio de Janeiro, RJ",NI,NI,NI,NI,NI,NI,a5878da2931f0e38,5
Oracle,28 de Julho de 2016,Empresa dinâmica com foco em venda de tecnologia,2018-05-09,Senior Field Solution Manager (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,Prósambiente de trabalho e ferramental,ContrasDecisões externas muitas vezes afetam o desempenho das áreas no país,NI,477d3a965b0f110f,5
Oracle,4 de Julho de 2016,"Empresa dinâmica, ambiente desafiador, crescimento profissional",2018-05-09,Support Sales Representative (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,"PrósBenefícios, remuneração",ContrasNão preza pelo equilíbrio entre trabalho e vida pessoal,NI,c25f86d3e7a92b7a,5
Oracle,14 de Junho de 2016,Empresa com oportunidade de altas comissões e muito dinamica.,2018-05-09,Executivo Comercial (Funcionário Atual) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,7c0d8b9edd1ef0ae,5
Oracle,14 de Junho de 2016,Empresa inovadora,2018-05-09,Consultor Principal (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,a669fd46ec51eb83,4
Oracle,6 de Junho de 2016,Dinâmica,2018-05-09,Sales Manager (Funcionário Atual) –  ,"Rio de Janeiro, RJ",NI,NI,NI,PrósDesafiadora,ContrasTurn-over alto,NI,4f690fccc1d550ec,2
Oracle,23 de Maio de 2016,Empresa me trouxe muita experiencia e preparo,2018-05-09,Duty Manager/DBA JR (Funcionário Atual) –  ,"Rio de Janeiro, RJ",NI,NI,NI,PrósExperiencia unica,Contrascontratos PJ,NI,e5e0698db7fc654b,5
Oracle,5 de Maio de 2016,Empresa Imponente,2018-05-09,Estagiário - Vendas (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósAmbiente de Trabalho,ContrasPromoção,NI,6a1b9ebe10911912,4
Oracle,26 de Novembro de 2015,Aprendizado,2018-05-09,Analista de Projetos (Funcionário Atual) –  ,"Rio de Janeiro, RJ",NI,NI,NI,PrósHome Office,ContrasForma de contratação(PJ),NI,e99d6b64278c0ac5,4
Oracle,9 de Novembro de 2015,Good place,2018-05-09,Internship (Ex-Funcionário) –  ,"Sao Paulo,SP",NI,NI,NI,NI,NI,NI,41f6813720470335,4
