company,date,title,status,location,recommend,outlook,ceo,pros,cons,adviceManag,id,rating,dateCollect
"
iFood
","
Há 13 dias
","
Empresa humana que valoriza de ponta a ponta desde os funcionários e a seus clientes.
",Executivo de Vendas Pleno,"
Salvador, BA
",Conselhos para presidência: Continuar colocando nosso valores da empresa sempre a frente da organização.,NI,NI,Prós: Empresa que escuta suas opiniões e valoriza seus funcionários. Com valores e cultura organizacional colocada em prática. Não fica só no papel.,Contras: Devido o crescimento as vezes o retorno das demandas internas não tem tanta velocidade como se deseja. Porém sempre consigo solucionar falando com gestão.,NI,626754,5,2018-01-28
"
iFood
","
Há 13 dias
","
A melhor empresa do Brasil
",Coordenador de Tecnologia,"
Campinas, SP
",Conselhos para presidência: Seguir sendo transparente! Parabéns,NI,NI,"Prós: Ambiente e estrutura espetaculares. Com um ambiente descontraido as pessoas rendem mais, evoluem mais. Os lideres ajudam no crescimento, indicando pontos positivos. Sempre tem espaço para crescer, basta aproveitar as oportunidades.","Contras: No geral, pessoas bem jovens assumem lideranças, o que é bem legal pelas oportunidades, mas pode trazer alguns problemas. Em linhas gerais, a assertividade é maior que os erros.",NI,626351,5,2018-01-28
"
iFood
","
Há 13 dias
","
Exceletente lugar para se trabalhar.
",Desenvolvedor Back-End Pleno,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,Prós: O ambiente sem dúvidas é o ponto forte com baixa pressão e grande liberdade para desenvolver seu trabalho. Sempre visam reconhecer o trabalho dos colaboradores.,"Contras: Não consigo pensar em pontos negativos, é um excelente lugar para se trabalhar onde a diretoria é transparente sobre as coisas boas e ruins.",NI,626309,5,2018-01-28
"
iFood
","
Há 24 dias
","
Vale a pena!
",Analista de Vendas Sênior,"
Jundiaí, SP
",NI,NI,NI,"Prós: Instalações agradáveis, bons benefícios, regalias alimentares, festas bem produzidas, possibilidade de aprendizado e desenvolvimento com foco em resultados que sejam alinhados aos da empresa.","Contras: Ausência de processos bem construídos, remuneração igual pra todos os níveis de profissionais no campo de vendas, mudanças repentinas no comissionamento",NI,617630,4,2018-01-28
"
iFood
","
Há aproximadamente 1 mês
","
iFood
",Funcionário,"
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Adoro trabalhar no IFood, consigo conciliar a minha vida pessoal com a profissional, os lideres são humanos, as pessoas se preocupam umas com as outras. Ambiente harmonioso e descontraído.","Contras: A localização da empresa, não temos restaurante para almoçar, acesso é perigoso.",NI,612844,5,2018-01-28
"
iFood
","
Há aproximadamente 1 mês
","
Divertido e bom para adquirir experiência
","Analista PlenoEx-funcionário, saiu em 2017","
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Free de biscoitos, frutas, barra de cereal, energético, refrigerante e cerveja, todo final de mês dão uma festa, é uma empresa que gosta muito de festas! Ambiente descolado e informal com muitas pessoas jovens. Você aprende muito todos os dias.","Contras: Falha total na comunicação e objetivos das áreas, favorecimento de alguns profissionais, nem todas as áreas são tratadas de forma """"descolada"""", com rotinas super amarradas e engessadas. Processos muito burocráticos que não facilitam as atividades diárias, muita burocracia.",NI,606601,3,2018-01-28
"
iFood
","
Há aproximadamente 2 meses
","
iFood
","Analista de SuporteEx-funcionário, saiu em 2016","
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente jovem, divertido, benefícios bons, o rh é muito bom também. É uma empresa transparente, em que todos independentemente do cargo sabe o rumo que as coisas estão tomando. O escritória além de bem localizado é muito bonito e pensado no bem estar das pessoas. A empresa se preocupa com as pessoas.","Contras: Colocam pessoas inexperientes em Gestão para ser supervisor, pessoas desequilibradas emocionalmente que só causam problemas e discórdias entre os subordinados da equipe.",NI,604005,3,2018-01-28
"
iFood
","
Há aproximadamente 2 meses
","
Empresa maravilhosa, só falta mudar para um lugar maior!
",Funcionário,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente, receptividade das pessoas, recursos, toda a área de facilites, benefícios, organização, praticidade na contratação, no geral a empresa é muito boa.",Contras: Estrutura. A empresa fica em um lugar pequeno demais para o porte dela. Estamos muito apertados e os locais que seriam de convívio legais ficam sempre abarrotados.,NI,603319,4,2018-01-28
"
iFood
","
Há aproximadamente 2 meses
","
Vale a pena
",Analista de Vendas,"
Jundiaí, SP
",NI,NI,NI,"Prós: Bons recursos de aprendizado, e de remuneração. Os benefícios são muito bons, o ambiente é agradável. Indico aos amigos que tenham garra e determinação para crescer!","Contras: Poucos processos estabelecidos,as áreas ainda não se completam, a operação de modo geral, porém se explica pelo fato da empresa ter apenas cinco anos e ter crescido de forma absurda",NI,602470,4,2018-01-28
"
iFood
","
Há aproximadamente 2 meses
","
iFood
",Analista de Business Intelligence (BI),"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente de trabalho incrível, pessoas incríveis. 1 ano de aprendizado no iFood equivale a 2 ou 3 anos em qualquer outra empresa. Se não fosse o baixo salario, e a não valorização profissional, com certeza seria umas das melhores empresas para se trabalhar. Ótima, para inicio de carreira.","Contras: Tentam te convencer a trabalhar pelos benefícios, e ambiente com sinuca, cervejas e videogames, mas o salário é bem abaixo do mercado. Valorização profissional também deixa a desejar.",NI,601695,3,2018-01-28
"
iFood
","
Há aproximadamente 2 meses
","
Empresa onde você pode ser você mesmo
",Analista Júnior,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Autonomia, ambiente muito bom, muita chance de desenvolvimento, as pessoas que trabalham lá, realmente são felizes e acreditam no que estão fazendo. A empresa tem um impacto muito positivo não só na vida dos usuários, mas também dos restaurantes. Além disso, as pessoas podem ser elas mesmas, pois não há barreiras de estilos ou pensamentos, e as pessoas podem se expressar.","Contras: Falta de “padronização” para algumas decisões que deveriqm ser mais padronizadas (mesma régua), principalmente quando se trata de pessoas....",NI,601406,4,2018-01-28
"
iFood
","
Há aproximadamente 2 meses
","
Paixão por esse lugar =)
","Inside SalesEx-funcionário, saiu em 2017","
Jundiaí, SP
",Conselhos para presidência: Continuem em frente e rumo a super meta!,NI,NI,"Prós: Um clima mega agradável, excelentes profissionais, líderes que são líderes de verdade (inspiradores e cativantes). Uma empresa que escuta as opiniões e sugestões das pessoas, merece 5 estrelas!","Contras: Não encontrei pontos negativos. Saí da empresa pois tinha um projeto paralelo que tomou uma boa proporção e não estava conseguindo alinhar mais as duas coisas. Hoje já não participo mais o projeto e se pudesse, me candidataria 1000 vezes às vagas do IFood!",NI,599520,5,2018-01-28
