id,postJob,ratingComp,company,city/state,link,skill
1925093723,Data Scientist,3.2,Honeywell,"Golden Valley, MN",https://www.glassdoor.com/partner/jobListing.htm?pos=715&ao=133514&s=58&guid=000001568185bf4d85b7e22dcaa08bfa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471051842124&jobListingId=1925093723,"['negotiation', 'considered.', 'mn.', 'nosql', 'global', 'results', 'honeywells', 'tableau', 'executing', 'attitude', 'scientist', 'identify', 'solutions', 'questions', 'participate', 'follow', 'yes', 'displaying', 'technologies', 'staff', 'relationships', 'visualization', 'based', 'field', 'implementation', 'capabilities', 'operational', 'environment', 'production', 'location', 'integrate', 'role', 'hidden', 'must', 'defining', 'interested', 'applied', 'customers', 'python', 'masters', 'preferred', 'contemporary', 'unstructured', 'collaboratively', 'updates', 'closely', 'international', 'telling', 'world', 'more.', 'recommending', 'bringing', 'relish', 'projects', 'processes', 'skills', 'across', 'large', 'morris', 'newsletternew.aspx', 'team', 'analytical', 'including', 'analysis.', 'enjoy', 'r', 'right', 'methods', 'intelligence', 'energy', 'innovative', 'product', 'related', 'sign', 'challenges', 'platforms', 'trends', 'actively', 'design', 'us', 'combining', 'teams', 'employment', 'click', 'best', 'ability', 'specific', 'repository', 'pattern', 'please', 'sites', 'current', 'may', 'state', 'machine', 'market', 'new', 'leader', 'honeywellnow.', 'provide', 'terms', 'members', 'business', 'communicate', 'governing', 'understanding', 'efficiency', 'job', 'answers', 'groups', 'address', 'modeling', 'safer', 'strong', 'search', 'talent', 'service', 'receive', 'scientist.', 'experience', 'spss', 'positive', 'businesses', 'thats', 'degree', 'golden', 'secure', 'within', 'year', 'highly', 'en', 'opportunities', 'learning', 'news', 'd3.js', 'productive.', 'qlikview', 'story', 'configuration', 'computer', 'working', 'data', 'objectives', 'structured', 'visit', 'strategy', 'plains', 'expected', 'percentage', 'valley', 'organization.', 'systems', 'mining', 'enable', 'infrastructure', 'bachelors', 'spotfire', 'excellent', 'delivers', 'promote', 'careersathoneywell.com', 'outline', 'customer', 'intriguing', 'join', 'honeywell.com', 'analytics', 'pursue', 'science', 'work', 'engineering', 'value', 'project', 'growth', 'stories', '.', 'report', 'seamlessly', 'industry', 'proactive', 'conferences', 'architecture.', 'functions', 'comfortable', 'high', 'single', 'minimum', 'sas', 'clearly', 'information', 'nj', 'develop', 'output', 'architectures.', 'self', 'responsible', 'hadoop', 'thorough', 'member', 'application', 'responsibilities', 'potential', 'honeywell', 'build', 'answer', 'mathematics', 'higher', 'development', 'begin', 'oriented', 'http', 'attend', 'passionately', 'collaboration', 'prototypes', 'needs', 'architects', 'stay', 'driven', 'productivity', 'future', 'meaningful', 'class', 'network', 'building', 'remote', 'functions.', 'required', 'well', 'analysis', 'efficient', 'depth', 'enterprise', 'model', 'software', 'opportunity', 'travel']"
1818317893,Lead Data Scientist,4.3,Boston Consulting Group,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=135778&s=58&guid=000001568175821fa8040e8b104cb68f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471050778028&jobListingId=1818317893,
1903520350,Data Engineer - Secret Data Science Team,3.9,ExactTarget Marketing Cloud,"Palo Alto, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=901&ao=4470&s=58&guid=00000156815d9bc1ae7b3f3a827b2b71&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471049211494&jobListingId=1903520350,
1905633253,Data scientist,2.7,Sunrise Systems Inc,"Piscataway, NJ",https://www.glassdoor.com/partner/jobListing.htm?pos=320&ao=55199&s=58&guid=00000156817898559a36eea1c53c2cc9&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471050980084&jobListingId=1905633253,
1775186514,Field Data Scientist,3.5,Context Relevant,"Seattle, WA",https://www.glassdoor.com/partner/jobListing.htm?pos=2026&ao=99157&s=58&guid=000001568187d4678f777815a75f5636&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471051978710&jobListingId=1775186514,"['approaches.', 'less', 'accurate', 'competing', 'dynamic', 'focus', 'years', 'founded', 'bring', 'including', 'solutions', 'statistical', 'love', 'speed', 'reasoning', 'automating', 'current', 'based', 'field', 'much', 'distributed', 'actually', 'environment', 'platform', 'production', 'systems', 'input', 'challenges', 'might', 'interested', 'real', 'customers', 'risk', 'get', 'python', 'showing', 'designing', 'posed', 'fluid', 'massively', 'madrona', 'methods', 'greatest', 'scipy', 'every', 'difficult', 'closely', 'workflows', 'world', 'us.', 'one', 'firms', 'advanced', 'reusable', 'timely', 'crs', 'like', 'uncovering', 'industries.', 'problems.', 'extremely', 'tractable.', 'standards', 'specific', 'tools', 'transform', 'sachs', 'team', 'analytical', 'security', 'passionate', 'side', 'enjoy', 'predictive', 'domain', 'set', 'financial', 'directly', 'generation', 'companies', 'hard', 'direct', 'related', 'detection', 'analytics', 'see', 'computer', 'perspective', 'balance', 'best', 'subject', 'driven', 'delivered', 'threats', 'degree', 'expert', 'record', 'managing', 'product.', '+', 'near', 'libraries', 'models', 'behind', 'critical', 'various', 'scientists', 'compute', 'cannot.', 'youll', 'thrive', 'date.', 'available', 'full', 'labor', 'ability', 'vertical', 'partners', 'ph.d.', 'processing', 'commercial', 'given', 'answers', 'delivering', 'implementing', 'approaches', 'succeed', 'focused', 'key', 'making', 'backed', 'modeling', 'standard', 'business', 'science', 'manual', 'interaction', 'rare', 'desired', 'ventures', 'industry', 'drudgery', 'experience', 'enabling', 'bank', 'insidious', 'applications.', 'context', 'hence', 'experiences', 'implement', 'makes', 'top', 'software', 'accessible', 'raised', 'relevant', 'tough', 'features', 'previously', 'overview', 'aspect', 'others', 'apt', 'highly', 'capital', 'learning', 'cr', 'datasets', 'quality', 'pragmatic', 'intensive', 'use', 'statistics', 'sheet', 'investors', 'working', 'risk.', 'leading', 'objectives', 'engagement', 'system', 'mathematics', 'live', 'program', 'worlds', 'numpy', 'creation.', 'milliseconds', 'gives', 'you.', 'life', 'flight', 'success.', 'ingests', 'eliminates', 'environment.', 'loops.', 'cyber', 'automated', 'known', 'delivers', 'highest', 'true', 'customer', 'wide', 'fraud', 'applying', 'vulcan', 'streaming', 'ml', 'work', 'actors', 'value', 'matter', 'm.s.', 'meet', 'voice', 'engineers', 'better', 'streams', 'decisions', 'backing', 'technologists', 'formation', 'proven', 'comfortable', 'questions', 'expertise', 'want', 'need', 'cumbersome', 'productizing', 'everyday', 'requirements', 'make', 'agency', 'cohesive', 'utilize', 'machine', 'also', 'high', 'complex', 'role', 'take', 'largest', 'answer', 'ensure', 'techniques', 'pandas', 'toughest', 'explaining', 'product', 'used', 'multiple', 'track', 'goldman', 'behavioral', 'problems', 'business.', 'scalable', 'helping', 'applications', 'america', 'rigor', 'ownership', 'services', 'develop', 'engagements', 'data', 'stack', 'underpinning', 'building', 'faster', 'performance', 'youre', 'analysis', 'competitors', 'part', 'solve', 'presenting', 'intelligence', 'time', 'far', 'position', 'model', 'executives', 'decision', 'joining']"
1921722290,Data Scientist,Data Scientist,United Services Automobile Association (USAA),"San Antonio, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=318&ao=107258&s=58&guid=00000156817898559a36eea1c53c2cc9&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471050980080&jobListingId=1921722290,
1865770794,Data Scientist,3.9,xAd,"Mountain View, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=100371&s=58&guid=00000156815bf5dcb20177c5be7fbd69&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471049103628&jobListingId=1865770794,
1920748767,NLP Development Engineer - (Data Scientist/Machine Learning),NLP Development Engineer - (Data Scientist/Machine Learning),RiverRock Network,"Palo Alto, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=813&ao=85058&s=58&guid=00000156815d6f7fa47b8e2c79ba6595&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471049200141&jobListingId=1920748767,"['nlp', 'code', 'background', 'deployment', 'existing', 'scientist', 'including', 'follow', 'yet', 'candidates.', 'machine', 'knowledge', 'candidate', 'agile', 'multidisciplinary', 'distributed', 'written', 'environment', 'team.', 'location', 'citizen', 'employee', 'local', 'app', 'big', 'preferred', 'collaboratively', 'amazon', 'closely', 'hands', 'using', 'projects', 'skills', 'academia', 'base.', 'server', 'large', 'team', 'small', 'entirely', 'experienced', 'week', 'google', 'art', 'determine', 'verbal', 'reduce', 'direct', 'ec', 'analytics', 'towards', 'palo', 'techniques', 'databases.', 'provided', 'scale', 'consumers', 'research', 'looking', 'state', 'passion', 'new', 'youll', 'full', 'creating', 'web', 'targeted', 'u.s.', 'processing', 'delivering', 'components.', 'job', 'paid', 'exciting', 'card', 'alto', 'great', 'benefits', 'language', 'many', 'industry', 'programming', 'days', 'experience', 'silicon', 'prior', 'applications.', 'plus.', 'software', 'automating', 'family', 'communication', 'ca', 'robotics', 'events.', 'unix', 'initiative', 'learning', 'linux', 'tools', 'engineer', 'management', 'working', 'support', '.', 'much', 'strong', 'valley', 'duties', 'engine', 'infrastructure', 'tool', 'environment.', 'holder', 'starter', 'hire', 'development.', 'requirements.', 'developing', 'solid', 'work', 'value', 'solutions.', 'frameworks', 'k', 'autonomous', 'example', 'extracting', 'service.', 'computing', 'certain', 'modern', 'player', 'engineering', 'plan', 'productizing', 'different', 'requirements', 'amounts', 'self', 'able', 'feature', 'member', 'responsibilities', 'parts', 'take', 'test', 'plus', 'development', 'map', 'product', 'francisco', 'description', 'deploy', 'independently.', 'driven', 'applications', 'generated', 'involving', 'user', 'improving', 'data', 'building', 'peers', 'natural', 'especially', 'lunch', 'medical', 'vehicles', 'well', 'maintain', 'green', 'time', 'san', 'hadoop', 'consumer']"
1926464776,"Data Science Engineer, Geospatial",3.8,DataRobot,"Boston, MA",https://www.glassdoor.com/partner/jobListing.htm?pos=416&ao=8095&s=58&guid=000001568171648e9025408caf4f4ade&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471050508038&jobListingId=1926464776,"['code', 'accurate', 'sources', 'scientist', 'solutions', 'statistical', 'innovative', 'competitions', 'based', 'knowledge', 'solving', 'distributed', 'writing', 'environment', 'platform', 'matlab', 'faster.', 'motivated', 'around', 'python', 'hands', 'world', 'documented', 'like', 'skills', 'c++', 'geospatial', 'either', 'analytical', 'passionate', 'predictive', 'art', 'computation', 'people', 'actively', 'best', 'capabilities.', 'scala', 'open', 'familiarity', 'looking', 'bonus', 'state', 'r', 'provides', 'scientists', 'achievements', 'ability', 'join', 'platform.', 'kaggle', 'delivering', 'approaches', 'brightest', 'key', 'modeling', 'strong', 'c', 'talented', 'experience', 'domains', 'implement', 'clojure', 'highly', 'learning', 'datarobot', 'testable', 'use', 'management', 'java', 'working', 'source', 'data', 'top', 'fast', 'analyze', 'excellent', 'applying', 'maintainable', 'science', 'work', 'frameworks', 'computer', 'formats', 'contribution', 'problem', 'real', 'outstanding', 'contribute', 'deep', 'raw', 'sas', 'different', 'end', 'variety', 'allow', 'machine', 'role', 'build', 'development', 'users', 'models', 'problems', 'proficiency', 'preprocessing', 'develop', 'opportunity', 'class', 'components', 'position', 'order', 'paced']"
1848280442,Senior Data Scientist - Natural Language Processing (NLP),3.7,Netflix,"Los Gatos, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=520&ao=4120&s=58&guid=00000156815cdf6f9e66520b63ea887a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1471049163527&jobListingId=1848280442,
